date,dma,treatment_period,search stays on,revenue
1-Apr-12,627,0,0,25270.4952
1-Apr-12,628,0,1,56192.1408
1-Apr-12,630,0,1,114492.8664
1-Apr-12,631,0,1,9645.4296
1-Apr-12,632,0,1,62765.2656
1-Apr-12,633,0,1,32955.1632
1-Apr-12,634,0,1,39849.0552
1-Apr-12,635,0,0,143989.0056
1-Apr-12,636,0,1,60518.0304
1-Apr-12,637,0,1,57693.1608
1-Apr-12,638,0,1,7659.4032
1-Apr-12,639,0,1,12157.6248
1-Apr-12,640,0,1,104274.3096
1-Apr-12,641,0,1,145248.7824
1-Apr-12,642,0,1,39556.62
1-Apr-12,643,0,1,19643.364
1-Apr-12,644,0,0,11204.1504
1-Apr-12,647,0,1,9365.6376
1-Apr-12,648,0,1,58935.2904
1-Apr-12,649,0,1,40325.9328
1-Apr-12,650,0,1,108099.756
1-Apr-12,651,0,1,24471.0144
1-Apr-12,652,0,1,64506.4704
1-Apr-12,656,0,0,23840.2152
1-Apr-12,657,0,1,16045.7904
1-Apr-12,658,0,1,82171.692
1-Apr-12,659,0,1,172648.4472
1-Apr-12,661,0,1,8659.2456
1-Apr-12,662,0,1,18533.268
1-Apr-12,669,0,1,67241.7648
1-Apr-12,670,0,1,58873.1616
1-Apr-12,671,0,0,77512.4568
1-Apr-12,673,0,0,28316.2176
1-Apr-12,675,0,1,44629.6824
1-Apr-12,676,0,0,33565.0608
1-Apr-12,678,0,0,106136.856
1-Apr-12,679,0,0,75676.6728
1-Apr-12,682,0,1,59374.8648
1-Apr-12,686,0,0,84427.9992
1-Apr-12,687,0,0,43548.5304
1-Apr-12,691,0,0,70351.6824
1-Apr-12,692,0,0,25960.1976
1-Apr-12,693,0,0,89120.1888
1-Apr-12,698,0,1,34446.744
1-Apr-12,702,0,1,36304.6968
1-Apr-12,705,0,0,31569.4224
1-Apr-12,709,0,1,35992.0728
1-Apr-12,710,0,0,12852.2592
1-Apr-12,711,0,0,7716.3048
1-Apr-12,716,0,1,56948.1264
1-Apr-12,717,0,1,17825.7888
1-Apr-12,718,0,1,45715.2048
1-Apr-12,722,0,1,51878.8296
1-Apr-12,724,0,1,51307.6608
1-Apr-12,725,0,1,49323.0096
1-Apr-12,734,0,0,16418.8872
1-Apr-12,736,0,1,16987.9536
1-Apr-12,737,0,0,8899.4232
1-Apr-12,740,0,1,1978.8768
1-Apr-12,743,0,0,34585.596
1-Apr-12,744,0,0,119943.2304
1-Apr-12,745,0,0,7289.2008
1-Apr-12,746,0,1,22993.3512
1-Apr-12,747,0,0,8124.84
1-Apr-12,749,0,0,19566.9792
1-Apr-12,751,0,0,307795.4784
1-Apr-12,752,0,1,60562.7424
1-Apr-12,753,0,1,310252.0824
1-Apr-12,754,0,1,15552.1728
1-Apr-12,755,0,0,16227.1872
1-Apr-12,756,0,1,24415.7616
1-Apr-12,757,0,0,51938.4672
1-Apr-12,758,0,0,30213.864
1-Apr-12,759,0,0,13854.4848
1-Apr-12,760,0,1,12924.0216
1-Apr-12,762,0,1,22164.2136
1-Apr-12,764,0,1,19750.4928
1-Apr-12,765,0,1,66677.2128
1-Apr-12,766,0,1,4171.932
1-Apr-12,767,0,1,10052.3736
1-Apr-12,770,0,1,198627.8184
1-Apr-12,771,0,1,28224.468
1-Apr-12,773,0,1,10584.4536
1-Apr-12,789,0,1,80394.0336
1-Apr-12,790,0,1,131927.8752
1-Apr-12,798,0,1,1552.3776
1-Apr-12,800,0,1,45586.548
1-Apr-12,801,0,0,40820.436
1-Apr-12,802,0,0,12663.36
1-Apr-12,803,0,1,1517006.232
1-Apr-12,804,0,1,22238.1
1-Apr-12,807,0,1,671765.4288
1-Apr-12,810,0,1,44661.8664
1-Apr-12,811,0,0,52862.7384
1-Apr-12,813,0,0,32963.832
1-Apr-12,819,0,1,454525.1064
1-Apr-12,820,0,1,245544.8184
1-Apr-12,821,0,1,12353.8176
1-Apr-12,825,0,1,280001.34
1-Apr-12,828,0,1,61692.9336
1-Apr-12,839,0,1,128900.8224
1-Apr-12,855,0,1,47354.1768
1-Apr-12,862,0,1,283991.7024
1-Apr-12,866,0,0,112298.0976
1-Apr-12,868,0,1,33512.7672
1-Apr-12,881,0,1,93494.4192
2-Apr-12,500,0,0,81176.9832
2-Apr-12,501,0,1,2257588.008
2-Apr-12,502,0,1,32701.5576
2-Apr-12,503,0,1,41218.38
2-Apr-12,504,0,1,703947.564
2-Apr-12,505,0,0,385063.4088
2-Apr-12,506,0,1,644262.012
2-Apr-12,507,0,1,63757.5264
2-Apr-12,508,0,1,230423.2848
2-Apr-12,509,0,1,61191.432
2-Apr-12,510,0,1,315888.6672
2-Apr-12,511,0,0,662137.0128
2-Apr-12,512,0,1,277062.6816
2-Apr-12,513,0,0,93199.9464
2-Apr-12,514,0,1,144866.6784
2-Apr-12,515,0,1,189864.6912
2-Apr-12,516,0,1,34304.4072
2-Apr-12,517,0,0,237422.8224
2-Apr-12,518,0,1,130762.9224
2-Apr-12,519,0,1,63501.5664
2-Apr-12,520,0,1,43228.5336
2-Apr-12,521,0,0,139844.7936
2-Apr-12,522,0,1,45806.9256
2-Apr-12,523,0,1,89897.3352
2-Apr-12,524,0,1,501524.3736
2-Apr-12,525,0,0,22270.248
2-Apr-12,526,0,1,26638.2144
2-Apr-12,527,0,1,202589.7048
2-Apr-12,528,0,0,844627.464
2-Apr-12,529,0,1,122229.3744
2-Apr-12,530,0,1,37612.4256
2-Apr-12,531,0,1,56929.4064
2-Apr-12,532,0,1,121565.2536
2-Apr-12,533,0,1,250993.8576
2-Apr-12,534,0,0,374035.1976
2-Apr-12,535,0,1,193256.2008
2-Apr-12,536,0,0,49893.0192
2-Apr-12,537,0,1,34747.092
2-Apr-12,538,0,1,95703.1272
2-Apr-12,539,0,1,443260.5984
2-Apr-12,540,0,1,47860.1496
2-Apr-12,541,0,1,92959.416
2-Apr-12,542,0,0,101923.6464
2-Apr-12,543,0,1,66226.7448
2-Apr-12,544,0,0,147044.5488
2-Apr-12,545,0,0,52783.3296
2-Apr-12,546,0,0,80538.624
2-Apr-12,547,0,0,104389.5744
2-Apr-12,548,0,0,207435.8664
2-Apr-12,549,0,1,29428.3296
2-Apr-12,550,0,0,34681.6224
2-Apr-12,551,0,1,52670.3832
2-Apr-12,552,0,1,7474.068
2-Apr-12,553,0,1,19661.9904
2-Apr-12,554,0,1,31532.9832
2-Apr-12,555,0,1,94049.6328
2-Apr-12,556,0,0,122068.8288
2-Apr-12,557,0,0,104947.7688
2-Apr-12,558,0,1,6942.3048
2-Apr-12,559,0,1,33174.8784
2-Apr-12,560,0,1,209360.4336
2-Apr-12,561,0,0,149709.8664
2-Apr-12,563,0,0,135024.8832
2-Apr-12,564,0,1,98582.1552
2-Apr-12,565,0,0,25153.3872
2-Apr-12,566,0,0,148671.2376
2-Apr-12,567,0,1,155862.5184
2-Apr-12,569,0,1,11693.3328
2-Apr-12,570,0,1,51619.356
2-Apr-12,571,0,1,105290.4672
2-Apr-12,573,0,1,75494.268
2-Apr-12,574,0,1,76168.3896
2-Apr-12,575,0,1,78786.3096
2-Apr-12,576,0,0,31111.9416
2-Apr-12,577,0,0,143328.0312
2-Apr-12,581,0,0,40897.5336
2-Apr-12,582,0,1,16131.6648
2-Apr-12,583,0,1,2146.176
2-Apr-12,584,0,1,9239.652
2-Apr-12,588,0,1,75241.2672
2-Apr-12,592,0,1,27985.5
2-Apr-12,596,0,0,6606.8208
2-Apr-12,597,0,1,12475.0512
2-Apr-12,598,0,1,25440.8328
2-Apr-12,600,0,1,43113.4128
2-Apr-12,602,0,1,842267.16
2-Apr-12,603,0,1,36195.6024
2-Apr-12,604,0,1,31879.2168
2-Apr-12,605,0,1,38701.8288
2-Apr-12,606,0,0,15367.0176
2-Apr-12,609,0,0,234924.876
2-Apr-12,610,0,1,45007.8408
2-Apr-12,611,0,0,43911.3672
2-Apr-12,612,0,1,68818.6368
2-Apr-12,613,0,0,378879.0552
2-Apr-12,616,0,1,173629.0944
2-Apr-12,617,0,0,200970.2808
2-Apr-12,618,0,1,584906.3208
2-Apr-12,619,0,1,94596.3504
2-Apr-12,622,0,0,140613.4296
2-Apr-12,623,0,1,608820.8616
2-Apr-12,624,0,0,35184.3624
2-Apr-12,625,0,1,63973.6704
2-Apr-12,626,0,1,5464.5984
2-Apr-12,627,0,0,34582.212
2-Apr-12,628,0,1,31956.696
2-Apr-12,630,0,1,151277.472
2-Apr-12,631,0,1,10583.5608
2-Apr-12,632,0,1,73144.368
2-Apr-12,633,0,1,59363.1072
2-Apr-12,634,0,1,43784.46
2-Apr-12,635,0,0,185089.4424
2-Apr-12,636,0,1,125622.324
2-Apr-12,637,0,1,82323.108
2-Apr-12,638,0,1,8964.036
2-Apr-12,639,0,1,15149.3184
2-Apr-12,640,0,1,140570.7984
2-Apr-12,641,0,1,190308.672
2-Apr-12,642,0,1,54363.8448
2-Apr-12,643,0,1,22084.7688
2-Apr-12,644,0,0,18147.0744
2-Apr-12,647,0,1,11860.0128
2-Apr-12,648,0,1,75682.0512
2-Apr-12,649,0,1,52394.6448
2-Apr-12,650,0,1,148127.1912
2-Apr-12,651,0,1,26691.9552
2-Apr-12,652,0,1,90975.2184
2-Apr-12,656,0,0,34338.9528
2-Apr-12,657,0,1,22248.144
2-Apr-12,658,0,1,85982.4864
2-Apr-12,659,0,1,206406.3816
2-Apr-12,661,0,1,12908.8656
2-Apr-12,662,0,1,20225.6136
2-Apr-12,669,0,1,80859.0672
2-Apr-12,670,0,1,58585.2984
2-Apr-12,671,0,0,102894.696
2-Apr-12,673,0,0,32865.552
2-Apr-12,675,0,1,53424.0576
2-Apr-12,676,0,0,42799.464
2-Apr-12,678,0,0,102223.2312
2-Apr-12,679,0,0,80392.2048
2-Apr-12,682,0,1,73767.8592
2-Apr-12,686,0,0,112673.2248
2-Apr-12,687,0,0,58321.8936
2-Apr-12,691,0,0,76125.2544
2-Apr-12,692,0,0,33382.188
2-Apr-12,693,0,0,115212.2328
2-Apr-12,698,0,1,44060.5368
2-Apr-12,702,0,1,43043.868
2-Apr-12,705,0,0,38660.5584
2-Apr-12,709,0,1,57142.5912
2-Apr-12,710,0,0,18162.5184
2-Apr-12,711,0,0,11384.5968
2-Apr-12,716,0,1,83533.0608
2-Apr-12,717,0,1,24561.6408
2-Apr-12,718,0,1,64376.5968
2-Apr-12,722,0,1,60205.5144
2-Apr-12,724,0,1,68478.444
2-Apr-12,725,0,1,52085.8368
2-Apr-12,734,0,0,18966.384
2-Apr-12,736,0,1,20491.236
2-Apr-12,737,0,0,11365.1712
2-Apr-12,740,0,1,3985.812
2-Apr-12,743,0,0,43415.9496
2-Apr-12,744,0,0,118926.8496
2-Apr-12,745,0,0,8585.3448
2-Apr-12,746,0,1,23769.0792
2-Apr-12,747,0,0,8434.5048
2-Apr-12,749,0,0,41435.5464
2-Apr-12,751,0,0,356829.48
2-Apr-12,752,0,1,68935.7448
2-Apr-12,753,0,1,365819.8824
2-Apr-12,754,0,1,18058.3632
2-Apr-12,755,0,0,14319.2232
2-Apr-12,756,0,1,23694.444
2-Apr-12,757,0,0,61348.0536
2-Apr-12,758,0,0,32416.2144
2-Apr-12,759,0,0,14358.4776
2-Apr-12,760,0,1,13490.8776
2-Apr-12,762,0,1,26284.0032
2-Apr-12,764,0,1,27068.0976
2-Apr-12,765,0,1,112358.8584
2-Apr-12,766,0,1,4459.248
2-Apr-12,767,0,1,12958.0056
2-Apr-12,770,0,1,233417.34
2-Apr-12,771,0,1,46153.4832
2-Apr-12,773,0,1,16326.6984
2-Apr-12,789,0,1,101780.6256
2-Apr-12,790,0,1,140431.0608
2-Apr-12,798,0,1,2397.7872
2-Apr-12,800,0,1,61311.204
2-Apr-12,801,0,0,44136.8496
2-Apr-12,802,0,0,11446.308
2-Apr-12,803,0,1,1894622.544
2-Apr-12,804,0,1,26604.8928
2-Apr-12,807,0,1,848891.016
2-Apr-12,810,0,1,50213.4264
2-Apr-12,811,0,0,56142.8136
2-Apr-12,813,0,0,37512.18
2-Apr-12,819,0,1,470550.0168
2-Apr-12,820,0,1,272882.0088
2-Apr-12,821,0,1,14380.5096
2-Apr-12,825,0,1,329135.4288
2-Apr-12,828,0,1,66448.944
2-Apr-12,839,0,1,157497.4728
2-Apr-12,855,0,1,72174.3984
2-Apr-12,862,0,1,321719.8104
2-Apr-12,866,0,0,135204.9624
2-Apr-12,868,0,1,39552.6672
2-Apr-12,881,0,1,98379.3672
3-Apr-12,500,0,0,87553.0368
3-Apr-12,501,0,1,2273643.792
3-Apr-12,502,0,1,30600.8712
3-Apr-12,503,0,1,40027.7952
3-Apr-12,504,0,1,702310.4784
3-Apr-12,505,0,0,388874.9304
3-Apr-12,506,0,1,615645.3312
3-Apr-12,507,0,1,60601.6512
3-Apr-12,508,0,1,235913.4216
3-Apr-12,509,0,1,59770.8576
3-Apr-12,510,0,1,333421.2504
3-Apr-12,511,0,0,642818.0808
3-Apr-12,512,0,1,285727.9536
3-Apr-12,513,0,0,85272.6384
3-Apr-12,514,0,1,156351.096
3-Apr-12,515,0,1,166411.2168
3-Apr-12,516,0,1,34803.6552
3-Apr-12,517,0,0,229727.1096
3-Apr-12,518,0,1,124449.012
3-Apr-12,519,0,1,59432.4576
3-Apr-12,520,0,1,44596.9584
3-Apr-12,521,0,0,137219.2632
3-Apr-12,522,0,1,33138.7056
3-Apr-12,523,0,1,82857.0312
3-Apr-12,524,0,1,512832.5856
3-Apr-12,525,0,0,17628.9408
3-Apr-12,526,0,1,30477.096
3-Apr-12,527,0,1,205330.2336
3-Apr-12,528,0,0,932288.976
3-Apr-12,529,0,1,128635.0128
3-Apr-12,530,0,1,49524.0768
3-Apr-12,531,0,1,65649.4632
3-Apr-12,532,0,1,125355.4632
3-Apr-12,533,0,1,268233.804
3-Apr-12,534,0,0,360906.8112
3-Apr-12,535,0,1,182908.1088
3-Apr-12,536,0,0,56605.3992
3-Apr-12,537,0,1,34660.6848
3-Apr-12,538,0,1,96598.5624
3-Apr-12,539,0,1,478046.2032
3-Apr-12,540,0,1,45053.2008
3-Apr-12,541,0,1,91495.2384
3-Apr-12,542,0,0,96590.0736
3-Apr-12,543,0,1,72223.7184
3-Apr-12,544,0,0,142004.0808
3-Apr-12,545,0,0,57605.1192
3-Apr-12,546,0,0,66973.896
3-Apr-12,547,0,0,106531.7616
3-Apr-12,548,0,0,200261.592
3-Apr-12,549,0,1,28834.3008
3-Apr-12,550,0,0,32752.44
3-Apr-12,551,0,1,55308.132
3-Apr-12,552,0,1,11310.1128
3-Apr-12,553,0,1,26365.8096
3-Apr-12,554,0,1,31628.8944
3-Apr-12,555,0,1,90976.284
3-Apr-12,556,0,0,110969.1
3-Apr-12,557,0,0,97701.6744
3-Apr-12,558,0,1,7168.0248
3-Apr-12,559,0,1,35231.22
3-Apr-12,560,0,1,218343.528
3-Apr-12,561,0,0,142449.3504
3-Apr-12,563,0,0,147572.7552
3-Apr-12,564,0,1,107904.96
3-Apr-12,565,0,0,24178.5864
3-Apr-12,566,0,0,179142.3576
3-Apr-12,567,0,1,160667.784
3-Apr-12,569,0,1,15305.9472
3-Apr-12,570,0,1,47686.4064
3-Apr-12,571,0,1,94175.1648
3-Apr-12,573,0,1,81542.8584
3-Apr-12,574,0,1,69332.3352
3-Apr-12,575,0,1,69449.472
3-Apr-12,576,0,0,30692.9376
3-Apr-12,577,0,0,148145.6664
3-Apr-12,581,0,0,34507.7136
3-Apr-12,582,0,1,13799.4264
3-Apr-12,583,0,1,2708.6976
3-Apr-12,584,0,1,12238.8984
3-Apr-12,588,0,1,70376.9184
3-Apr-12,592,0,1,53608.248
3-Apr-12,596,0,0,7606.1376
3-Apr-12,597,0,1,17547.3072
3-Apr-12,598,0,1,21206.2176
3-Apr-12,600,0,1,38110.7232
3-Apr-12,602,0,1,800977.464
3-Apr-12,603,0,1,29174.22
3-Apr-12,604,0,1,33940.2312
3-Apr-12,605,0,1,33986.304
3-Apr-12,606,0,0,18230.5656
3-Apr-12,609,0,0,225466.128
3-Apr-12,610,0,1,50921.0496
3-Apr-12,611,0,0,32158.2528
3-Apr-12,612,0,1,74258.3808
3-Apr-12,613,0,0,384782.9472
3-Apr-12,616,0,1,184052.664
3-Apr-12,617,0,0,186000.408
3-Apr-12,618,0,1,584399.988
3-Apr-12,619,0,1,95776.7688
3-Apr-12,622,0,0,143435.1528
3-Apr-12,623,0,1,562347.0936
3-Apr-12,624,0,0,32626.7352
3-Apr-12,625,0,1,67455.7776
3-Apr-12,626,0,1,6607.8072
3-Apr-12,627,0,0,39197.3904
3-Apr-12,628,0,1,31981.0248
3-Apr-12,630,0,1,130475.5992
3-Apr-12,631,0,1,10825.1424
3-Apr-12,632,0,1,75995.6256
3-Apr-12,633,0,1,37999.1448
3-Apr-12,634,0,1,50071.8528
3-Apr-12,635,0,0,178303.0248
3-Apr-12,636,0,1,95964.3864
3-Apr-12,637,0,1,83529.6192
3-Apr-12,638,0,1,9865.0224
3-Apr-12,639,0,1,12331.6056
3-Apr-12,640,0,1,132555.2184
3-Apr-12,641,0,1,205262.0568
3-Apr-12,642,0,1,52690.5288
3-Apr-12,643,0,1,17738.0208
3-Apr-12,644,0,0,14928.552
3-Apr-12,647,0,1,10818.6264
3-Apr-12,648,0,1,76850.676
3-Apr-12,649,0,1,61507.8
3-Apr-12,650,0,1,148319.0424
3-Apr-12,651,0,1,28063.512
3-Apr-12,652,0,1,85885.2216
3-Apr-12,656,0,0,30375.648
3-Apr-12,657,0,1,24551.64
3-Apr-12,658,0,1,94604.9832
3-Apr-12,659,0,1,231212.052
3-Apr-12,661,0,1,8393.8176
3-Apr-12,662,0,1,20624.3424
3-Apr-12,669,0,1,73620.4608
3-Apr-12,670,0,1,55177.416
3-Apr-12,671,0,0,118221.0768
3-Apr-12,673,0,0,32661.936
3-Apr-12,675,0,1,59990.04
3-Apr-12,676,0,0,44775.0864
3-Apr-12,678,0,0,102264.6528
3-Apr-12,679,0,0,95462.8344
3-Apr-12,682,0,1,68194.7136
3-Apr-12,686,0,0,111581.2944
3-Apr-12,687,0,0,50882.9328
3-Apr-12,691,0,0,90869.868
3-Apr-12,692,0,0,34948.5192
3-Apr-12,693,0,0,120449.1096
3-Apr-12,698,0,1,41420.4696
3-Apr-12,702,0,1,51410.9736
3-Apr-12,705,0,0,37116.54
3-Apr-12,709,0,1,49401.18
3-Apr-12,710,0,0,20040.6816
3-Apr-12,711,0,0,10634.2488
3-Apr-12,716,0,1,68251.32
3-Apr-12,717,0,1,23361.3
3-Apr-12,718,0,1,65027.7504
3-Apr-12,722,0,1,56428.416
3-Apr-12,724,0,1,61620.7104
3-Apr-12,725,0,1,61692.1488
3-Apr-12,734,0,0,17373.7944
3-Apr-12,736,0,1,16808.2848
3-Apr-12,737,0,0,12223.7784
3-Apr-12,740,0,1,4000.1256
3-Apr-12,743,0,0,40194.54
3-Apr-12,744,0,0,134462.4264
3-Apr-12,745,0,0,10020.5424
3-Apr-12,746,0,1,24113.0664
3-Apr-12,747,0,0,6382.0008
3-Apr-12,749,0,0,46667.1744
3-Apr-12,751,0,0,361962.7128
3-Apr-12,752,0,1,85932.9648
3-Apr-12,753,0,1,373397.9472
3-Apr-12,754,0,1,17567.6832
3-Apr-12,755,0,0,14585.5656
3-Apr-12,756,0,1,32823.6696
3-Apr-12,757,0,0,49210.1784
3-Apr-12,758,0,0,32634.108
3-Apr-12,759,0,0,14531.076
3-Apr-12,760,0,1,13611.9456
3-Apr-12,762,0,1,24593.5224
3-Apr-12,764,0,1,28508.8752
3-Apr-12,765,0,1,92739.96
3-Apr-12,766,0,1,4534.92
3-Apr-12,767,0,1,14894.1288
3-Apr-12,770,0,1,215218.0656
3-Apr-12,771,0,1,49203.8424
3-Apr-12,773,0,1,12342.4488
3-Apr-12,789,0,1,103547.9232
3-Apr-12,790,0,1,138783.1248
3-Apr-12,798,0,1,1128.8088
3-Apr-12,800,0,1,50843.3112
3-Apr-12,801,0,0,52226.1
3-Apr-12,802,0,0,19389.4272
3-Apr-12,803,0,1,1939303.152
3-Apr-12,804,0,1,28296.3744
3-Apr-12,807,0,1,862327.08
3-Apr-12,810,0,1,54685.2744
3-Apr-12,811,0,0,64337.616
3-Apr-12,813,0,0,44983.764
3-Apr-12,819,0,1,480142.44
3-Apr-12,820,0,1,303955.3368
3-Apr-12,821,0,1,16397.4888
3-Apr-12,825,0,1,352035.0936
3-Apr-12,828,0,1,75573.0432
3-Apr-12,839,0,1,164524.1472
3-Apr-12,855,0,1,69821.6256
3-Apr-12,862,0,1,357705.5256
3-Apr-12,866,0,0,128213.3376
3-Apr-12,868,0,1,44761.6008
3-Apr-12,881,0,1,101082.6504
4-Apr-12,500,0,0,84934.872
4-Apr-12,501,0,1,2162390.112
4-Apr-12,502,0,1,29903.328
4-Apr-12,503,0,1,33762.2904
4-Apr-12,504,0,1,667434.8232
4-Apr-12,505,0,0,381526.0992
4-Apr-12,506,0,1,589604.0256
4-Apr-12,507,0,1,58102.704
4-Apr-12,508,0,1,219107.3328
4-Apr-12,509,0,1,60082.4592
4-Apr-12,510,0,1,301024.1664
4-Apr-12,511,0,0,604614.456
4-Apr-12,512,0,1,254685.492
4-Apr-12,513,0,0,84261.7728
4-Apr-12,514,0,1,142495.7256
4-Apr-12,515,0,1,166722.2424
4-Apr-12,516,0,1,33018.3936
4-Apr-12,517,0,0,217590.5592
4-Apr-12,518,0,1,113622.6168
4-Apr-12,519,0,1,58823.0064
4-Apr-12,520,0,1,37927.44
4-Apr-12,521,0,0,136658.3544
4-Apr-12,522,0,1,40262.8752
4-Apr-12,523,0,1,74784.204
4-Apr-12,524,0,1,514852.2936
4-Apr-12,525,0,0,17658.036
4-Apr-12,526,0,1,20852.9856
4-Apr-12,527,0,1,209168.1936
4-Apr-12,528,0,0,816289.56
4-Apr-12,529,0,1,137205.4176
4-Apr-12,530,0,1,37399.5648
4-Apr-12,531,0,1,51054.7464
4-Apr-12,532,0,1,116728.992
4-Apr-12,533,0,1,250836.552
4-Apr-12,534,0,0,339821.0136
4-Apr-12,535,0,1,163848.5424
4-Apr-12,536,0,0,52250.292
4-Apr-12,537,0,1,23989.1472
4-Apr-12,538,0,1,83761.092
4-Apr-12,539,0,1,427082.4216
4-Apr-12,540,0,1,53778.5424
4-Apr-12,541,0,1,88504.4808
4-Apr-12,542,0,0,94949.8344
4-Apr-12,543,0,1,64863.2952
4-Apr-12,544,0,0,140951.4552
4-Apr-12,545,0,0,57322.6848
4-Apr-12,546,0,0,62500.7448
4-Apr-12,547,0,0,94446.3744
4-Apr-12,548,0,0,192241.7568
4-Apr-12,549,0,1,23615.316
4-Apr-12,550,0,0,38030.3136
4-Apr-12,551,0,1,52191.6768
4-Apr-12,552,0,1,9481.356
4-Apr-12,553,0,1,21575.34
4-Apr-12,554,0,1,29046.3336
4-Apr-12,555,0,1,85604.004
4-Apr-12,556,0,0,106682.9832
4-Apr-12,557,0,0,97935.7608
4-Apr-12,558,0,1,6513.408
4-Apr-12,559,0,1,28909.6488
4-Apr-12,560,0,1,174186.4968
4-Apr-12,561,0,0,114357.9528
4-Apr-12,563,0,0,140756.868
4-Apr-12,564,0,1,102452.2992
4-Apr-12,565,0,0,27181.9296
4-Apr-12,566,0,0,138672.3816
4-Apr-12,567,0,1,149497.9416
4-Apr-12,569,0,1,16161.3792
4-Apr-12,570,0,1,48170.6352
4-Apr-12,571,0,1,89805.816
4-Apr-12,573,0,1,67415.5152
4-Apr-12,574,0,1,71963.5968
4-Apr-12,575,0,1,73413.936
4-Apr-12,576,0,0,37083.888
4-Apr-12,577,0,0,138758.7024
