id,anychildren,broadband,hispanic,race,region,spend
118,1,1,0,white,NE,1349
119,1,1,0,white,MW,3596
120,1,1,0,white,NE,18541
121,1,1,1,white,MW,70
122,0,1,0,white,S,1435
123,1,1,0,white,W,9033
124,1,1,1,white,W,249
125,1,1,0,white,NE,47
126,0,1,1,asian,W,1703
127,0,1,0,white,S,331
128,1,1,1,white,W,579
129,1,1,0,white,NE,16231
130,1,1,0,white,S,4002
131,1,1,0,white,NE,2489
132,1,1,0,white,NE,775
133,0,1,1,white,S,382
134,0,1,0,white,W,271
135,1,1,0,white,S,883
136,1,1,0,white,MW,1158
137,0,1,1,white,W,62
138,0,1,0,white,S,1142
139,0,1,0,white,W,129
140,1,1,0,white,W,435
141,1,0,0,white,MW,780
142,1,1,0,black,W,5230
143,1,1,0,white,S,160
144,1,1,0,white,S,17
145,0,1,1,white,W,17
146,0,0,0,black,S,451
147,1,1,1,white,S,615
148,1,1,0,white,MW,583
149,1,1,1,white,MW,1706
150,1,1,0,white,S,159
151,1,1,0,white,NE,1385
152,0,1,0,white,MW,787
153,0,1,0,white,S,61
154,0,1,0,white,W,268
155,0,1,0,white,S,63
156,0,1,0,white,MW,524
157,0,0,1,white,MW,152
158,0,1,0,white,MW,220
159,1,1,0,white,NE,1271
160,0,1,1,white,S,40
161,1,0,1,white,S,7510
162,1,0,0,white,MW,147
163,1,1,0,white,W,257
164,1,1,0,white,S,813
165,0,1,0,white,NE,46
166,0,1,0,white,MW,1067
167,1,1,0,white,MW,185
168,1,1,0,white,S,1381
169,0,1,0,white,MW,101
170,1,1,0,asian,S,2610
171,1,1,0,white,W,60
172,0,1,0,white,S,74
173,1,1,1,white,W,1729
174,1,0,1,asian,NE,507
175,0,1,0,white,S,85
176,1,1,0,white,S,401
177,1,1,0,white,W,59
178,0,0,1,white,S,9
179,0,1,0,black,MW,4499
180,1,1,0,white,S,141
181,1,1,0,white,W,5616
182,1,1,0,white,W,232
183,1,1,0,white,S,25
184,1,1,0,white,S,250
185,0,1,1,white,S,200
186,0,0,0,white,MW,50
187,1,1,0,white,MW,5320
188,0,1,0,white,MW,179
189,1,1,1,white,MW,352
190,0,1,0,white,NE,199
191,1,1,1,white,S,2001
192,1,1,0,white,S,325
193,1,1,0,white,W,4656
194,0,1,0,white,W,46
195,0,1,0,white,W,14
196,1,1,0,white,MW,28
197,0,0,0,white,S,288
198,0,1,1,white,S,179
199,1,1,1,white,S,4869
200,1,1,0,white,MW,25684
201,0,0,0,white,S,1348
202,1,1,0,white,MW,450
203,0,0,0,white,W,240
204,1,1,0,white,MW,568
205,0,1,0,white,S,18
206,1,1,0,white,S,181
207,1,1,0,white,MW,512
208,0,1,0,white,MW,1088
209,0,1,0,white,MW,534
210,1,1,1,white,S,5289
211,1,1,0,white,NE,2039
212,1,1,0,white,S,1047
213,1,1,0,white,MW,1251
214,1,1,0,white,S,7741
215,1,1,0,white,S,3671
216,1,1,0,white,MW,1498
217,1,1,0,white,S,238
218,1,1,0,white,S,154
219,1,0,0,white,W,2620
220,1,1,1,white,MW,1490
221,1,1,0,white,W,7093
222,0,0,1,white,MW,95
223,1,1,1,white,MW,2618
224,1,1,0,white,NE,8
225,0,1,0,white,S,179
226,0,1,0,white,MW,133
227,1,1,0,white,MW,3296
228,0,1,0,white,MW,125
229,0,1,0,white,W,2989
230,1,1,0,white,W,424
231,1,1,0,white,S,342
232,1,1,0,white,MW,28
233,0,1,0,white,S,578
234,1,1,0,white,S,360
235,0,1,0,white,S,582
236,0,1,0,white,W,495
237,0,0,0,white,S,752
238,0,1,0,white,S,213
239,1,1,0,white,MW,438
240,0,1,0,white,S,1175
241,1,1,0,white,MW,1275
242,0,1,0,white,NE,9895
243,0,0,0,white,S,104
244,1,1,0,white,MW,558
245,1,1,0,white,MW,92
246,1,1,0,black,S,292
247,0,0,1,white,MW,360
248,1,1,0,white,S,1066
249,1,1,0,white,W,1293
250,1,0,0,white,S,29
251,1,1,1,white,NE,18084
252,1,0,0,white,NE,213
253,0,1,0,white,S,136
254,1,1,1,white,NE,1713
255,1,1,1,white,S,68
256,1,1,0,white,MW,456
257,0,0,0,white,S,1000
258,0,1,0,white,MW,973
259,1,1,1,white,W,8130
260,0,0,1,white,MW,3
261,1,1,0,white,MW,439
262,1,0,0,white,S,320
263,1,1,0,white,S,429
264,0,0,0,asian,S,516
265,1,1,0,white,MW,131
266,1,1,1,white,W,8
267,0,1,0,white,S,78
268,1,1,0,white,W,13792
269,0,1,1,white,NE,2925
270,1,1,0,white,S,119
271,0,1,0,white,W,996
272,1,1,0,white,MW,796
273,1,0,0,white,W,253
274,1,1,0,white,MW,241
275,0,1,0,white,NE,3931
276,0,1,0,white,S,780
277,1,1,0,white,NE,399
278,1,1,0,white,S,483
279,1,1,0,white,MW,682
280,0,1,0,white,NE,1395
281,0,1,0,white,W,99
282,0,1,0,white,W,689
283,1,1,0,white,S,255
284,1,1,1,white,W,2251
285,1,1,1,white,S,129
286,0,0,0,white,W,91
287,0,0,0,white,MW,210
288,1,1,0,white,S,1436
289,0,1,0,white,S,870
290,0,1,0,white,NE,515
291,0,1,0,white,W,970
292,0,1,0,white,W,676
293,1,1,0,white,MW,3303
294,1,1,1,white,W,396
295,1,1,1,white,S,188
296,1,1,1,white,NE,15
297,1,1,0,white,NE,1131
298,0,1,0,white,MW,156
299,1,1,0,white,S,1424
300,0,0,0,white,W,18
301,0,0,1,white,W,5959
302,1,1,0,white,W,1346
303,1,1,0,white,MW,233
304,1,1,1,white,S,778
305,1,1,0,white,NE,4035
306,1,0,1,white,W,932
307,1,1,0,white,S,745
308,1,1,1,white,W,718
309,1,0,0,white,MW,40
310,0,1,0,white,S,451
311,0,1,0,white,NE,6566
312,0,1,0,white,S,2945
313,1,1,0,white,NE,31447
314,1,1,0,white,W,1339
315,1,1,1,white,NE,1629
316,0,1,0,white,W,460
317,1,1,0,white,NE,885
318,1,1,0,white,S,728
319,1,1,1,white,S,990
320,1,1,0,white,S,483
321,1,1,0,white,S,45
322,0,1,0,white,W,2377
323,1,1,0,white,S,1970
324,1,1,1,white,S,48
325,0,1,0,white,S,109
326,0,0,0,black,NE,2627
327,1,1,0,white,MW,114
328,1,1,0,white,NE,155
329,1,0,0,white,S,3496
330,1,1,0,white,NE,458
331,0,0,0,white,S,1161
332,1,1,0,white,MW,104
333,0,1,0,white,S,86
334,0,1,0,white,S,10245
335,1,1,0,white,S,2419
336,1,0,0,white,MW,71
337,0,0,0,white,MW,53
338,0,1,0,white,W,2632
339,1,1,0,white,NE,1009
340,1,1,0,asian,MW,1483
341,1,1,0,white,NE,1677
342,0,1,0,white,NE,64
343,0,1,0,white,MW,478
344,0,1,0,white,S,542
345,0,0,0,white,NE,105
346,1,1,0,white,MW,2166
347,0,1,0,white,W,256313
348,0,1,1,white,S,208
349,1,0,0,white,MW,1104
350,0,1,0,white,NE,1517
351,1,1,0,white,NE,214
352,0,1,0,white,MW,116
353,0,1,0,white,S,4151
354,0,1,0,white,NE,844
355,0,0,0,white,MW,135
356,1,1,0,white,S,30
357,1,1,0,white,MW,14
358,0,1,0,white,S,192
359,1,1,0,white,MW,4709
360,1,1,1,white,NE,1428
361,0,0,0,white,MW,5699
362,1,1,0,white,MW,233
363,0,1,0,white,S,254
364,1,1,0,white,NE,3233
365,1,0,1,white,MW,2177
366,1,1,0,white,S,534
367,0,0,0,white,NE,569
368,1,1,0,white,MW,443
369,0,1,0,white,MW,3378
370,0,0,0,black,W,464
371,1,0,0,white,W,745
372,0,1,0,black,MW,2156
373,0,1,0,white,W,382
374,1,1,1,white,NE,18
375,1,1,0,white,S,157
376,1,1,0,white,MW,366
377,0,1,0,white,S,205
378,1,1,0,white,W,826
379,0,1,0,white,NE,2107
380,1,1,0,white,NE,2887
381,0,1,0,black,S,188
382,1,1,0,white,S,89
383,1,1,0,white,MW,17
384,1,1,0,white,S,81
385,1,1,0,white,S,530
386,1,1,0,white,MW,420
387,1,1,0,white,NE,116
388,0,1,0,white,NE,600
389,0,1,0,white,W,1718
390,1,1,0,white,NE,1142
391,1,1,0,white,S,358
392,1,1,0,asian,W,3045
393,0,1,0,white,NE,2211
394,1,0,0,white,S,620
395,1,1,0,white,MW,89
396,1,0,1,white,S,1196
397,0,1,0,white,S,1031
398,0,1,0,white,NE,661
399,1,1,0,black,S,112
400,1,1,0,white,MW,1350
401,1,0,0,white,MW,399
402,1,1,0,white,NE,855
403,0,0,1,white,NE,25
404,0,0,0,white,MW,218
405,1,1,0,white,W,231
406,1,1,0,white,S,417
407,1,1,1,white,W,36
408,1,1,0,white,S,1321
409,0,1,1,white,S,576
410,1,1,1,white,NE,1006
411,0,1,0,white,W,2858
412,0,0,0,white,S,716
413,1,1,0,white,S,50
414,1,1,1,white,NE,519
415,0,1,0,white,NE,1308
416,1,1,0,white,S,696
417,0,1,0,black,S,22237
418,0,0,1,white,S,46
419,1,1,0,asian,W,1516
420,1,0,0,white,S,10952
421,1,1,0,white,S,229
422,1,1,0,white,S,26
423,1,0,0,white,MW,891
424,1,1,0,white,S,78
425,0,0,0,white,W,2012
426,1,0,1,white,S,297
427,1,1,0,white,W,1337
428,1,1,0,white,MW,284
429,0,0,0,white,S,2776
430,1,1,0,white,S,106
431,1,1,0,white,S,286
432,0,0,1,black,MW,300
433,1,1,0,white,S,145
434,1,1,1,white,NE,77
435,1,1,0,white,MW,2155
436,1,1,0,white,W,7421
437,0,1,1,white,S,1625
438,0,0,0,white,W,15
439,0,1,0,white,NE,3071
440,0,1,0,white,NE,2106
441,0,1,1,white,W,101
442,0,1,0,white,NE,6568
443,1,1,1,white,S,2360
444,1,1,0,white,W,1646
445,0,1,0,white,NE,4650
446,1,1,0,white,MW,663
447,0,1,0,white,S,721
448,0,1,0,white,W,136
449,1,1,0,white,W,2809
450,1,1,0,white,MW,36
451,1,1,0,white,MW,410
452,1,1,0,white,MW,530
453,0,1,0,white,S,26
454,0,1,0,white,W,10
455,0,1,1,white,S,98
456,0,1,0,white,S,2296
457,0,1,0,white,S,1152
458,0,1,0,white,NE,997
459,1,1,0,white,MW,322
460,0,1,0,white,W,711
461,0,1,0,white,W,69
462,0,1,0,white,NE,351
463,0,1,0,white,S,52
464,0,0,0,black,MW,74
465,1,1,0,white,S,3002
466,0,0,1,white,MW,200
467,0,0,1,white,MW,18
468,1,1,0,white,MW,1654
469,1,1,1,white,MW,909
470,0,1,1,white,W,512
471,0,1,0,white,S,1240
472,1,1,0,white,S,702
473,0,1,1,white,W,1629
474,1,0,1,white,S,74
475,1,1,0,white,W,3450
476,1,1,0,white,MW,200
477,0,1,1,white,W,1237
478,1,0,0,white,MW,25
479,0,1,0,white,S,168
480,0,1,0,white,S,6571
481,0,0,1,white,W,180
482,1,1,0,white,MW,200
483,1,1,0,black,S,2868
484,0,0,0,white,MW,100
485,0,1,0,black,MW,48999
486,1,0,0,white,NE,415
487,1,1,0,white,MW,189
488,1,1,0,white,NE,2211
489,1,1,1,white,S,303
490,1,1,0,white,MW,1789
491,1,1,1,white,NE,2437
492,1,1,0,white,MW,3375
493,1,1,0,white,NE,906
494,1,0,0,white,NE,480
495,1,1,0,white,MW,159
496,1,1,0,white,W,2342
497,0,0,0,white,S,376
498,1,1,0,white,MW,4150
499,1,1,0,white,MW,523
500,0,1,1,asian,S,100
501,1,1,0,white,W,1684
502,1,1,0,white,MW,1823
503,1,1,0,white,W,627
504,0,1,0,white,S,2501
505,0,1,0,white,S,332
506,0,1,0,white,MW,2388
507,0,1,0,white,S,106
508,0,1,0,white,S,457
509,1,1,0,white,MW,199
510,1,1,0,white,NE,384
511,0,1,0,white,NE,1182
512,0,1,0,black,S,224
513,1,0,0,white,MW,1029
514,0,0,1,white,NE,7554
515,1,1,0,white,S,1994
516,0,0,1,white,W,46
517,0,1,1,white,S,4450
518,0,1,0,white,W,8427
519,1,1,0,white,MW,453
520,1,0,0,white,MW,555
521,0,1,0,white,W,542
522,1,1,1,white,W,3230
523,1,1,1,white,W,18
524,1,0,0,white,S,150
525,1,1,0,white,S,218
526,1,1,0,white,NE,2206
527,1,1,0,asian,W,459
528,1,0,0,black,S,869
529,1,1,1,black,MW,174
530,1,1,0,white,W,221
531,0,1,1,white,W,747
532,1,1,0,white,S,55
533,0,1,1,white,W,151
534,1,1,0,white,S,95315
535,1,0,0,white,NE,924
536,1,1,0,white,W,5993
537,1,1,0,white,S,3396
538,0,1,0,white,MW,128
539,0,1,0,white,W,331
540,0,1,1,white,MW,368
541,1,1,0,white,W,348
542,1,1,0,white,NE,595
543,0,1,0,white,W,192
544,0,1,0,black,W,2747
545,0,1,0,white,S,344
546,1,1,1,white,NE,135
547,1,1,1,white,NE,1103
548,0,1,0,white,S,106
549,1,1,0,white,S,232
550,1,1,0,white,NE,70
551,1,1,0,asian,W,377
552,0,1,1,white,S,915
553,0,1,0,white,NE,5926
554,0,1,0,white,MW,667
555,1,1,1,white,MW,246
556,0,1,1,other,W,435
557,1,1,0,white,MW,4820
558,1,1,0,white,W,71
559,0,1,0,white,W,128
560,1,1,0,white,S,18
561,1,1,0,white,S,326
562,1,1,1,white,NE,838
563,0,0,0,white,S,30
564,1,1,1,white,S,382
565,1,1,0,white,S,276
566,1,1,0,white,S,76
567,1,0,1,white,W,99
568,0,1,0,black,NE,83
569,0,1,0,white,NE,28
570,1,1,0,white,S,6540
571,1,1,0,white,NE,296
572,0,1,0,white,MW,24452
573,1,1,1,white,S,255
574,1,1,0,white,S,1750
575,1,1,0,white,NE,663
576,0,1,0,white,W,152
577,1,1,0,white,S,3808
578,0,1,0,white,NE,1608
579,1,1,0,black,NE,540
580,1,1,0,white,MW,1059
581,1,0,0,white,MW,827
582,1,1,0,white,W,157
583,0,0,0,white,S,173
584,1,1,0,white,S,2214
585,1,1,0,white,MW,236
586,1,1,0,white,MW,1017
587,0,1,0,white,MW,31
588,1,1,0,white,MW,171
589,0,1,0,white,W,27
590,0,1,0,white,S,488
591,1,0,0,black,S,26
592,1,1,1,white,MW,429
593,0,1,0,white,S,6833
594,0,1,0,white,NE,3740
595,1,1,0,white,S,3800
596,1,1,1,white,S,131
597,1,1,0,white,S,690
598,1,1,0,white,MW,3117
599,1,1,0,black,MW,131
600,1,1,1,white,W,7058
601,1,1,0,white,S,220
602,1,0,0,white,S,38
603,0,1,0,white,NE,34
604,1,1,1,white,MW,848
605,1,1,1,white,W,2227
606,0,1,1,white,NE,136
607,1,0,0,white,W,603
608,0,1,1,white,S,13420
609,0,0,0,white,S,8764
610,1,1,0,white,MW,662
611,0,1,0,white,MW,79
612,1,1,1,white,MW,1622
613,1,1,0,white,W,737
614,0,1,0,black,MW,402
615,0,1,0,white,W,29016
616,1,0,0,black,NE,460
617,0,1,0,white,NE,401
618,1,1,0,white,W,21238
619,1,0,0,white,S,4735
620,1,1,0,white,NE,4517
621,1,1,1,white,S,590
622,1,1,1,white,S,135
623,1,0,0,white,S,50
624,1,1,1,white,NE,1419
625,1,0,1,white,MW,402
626,1,1,1,white,S,213
627,0,1,0,white,S,6299
628,1,1,0,black,S,72
629,1,1,0,white,S,1896
630,1,1,0,white,NE,895
631,1,1,0,white,MW,538
632,1,1,0,white,S,466
633,0,1,1,white,MW,150
634,1,1,0,white,S,965
635,1,1,0,white,MW,10
636,1,1,0,white,S,1153
637,1,1,0,white,W,744
638,1,0,1,white,W,397
639,1,1,0,white,NE,122
640,1,1,1,white,S,676
641,0,1,0,white,W,67
642,1,1,0,white,W,1592
643,0,1,0,white,S,7234
644,0,1,0,white,S,348
645,1,1,0,white,S,1330
646,1,1,0,white,S,3871
647,1,1,0,white,S,1404
648,1,1,0,white,MW,64
649,1,1,0,white,MW,10796
650,1,1,0,white,NE,82
651,1,1,0,white,NE,172
652,1,1,0,white,S,1278
653,1,0,1,white,S,386
654,0,1,0,white,S,1227
655,1,1,0,black,S,1767
656,1,1,0,white,NE,409
657,0,1,0,white,NE,34
658,0,0,0,white,S,183
659,0,1,0,white,S,1275
660,1,1,0,white,W,13
661,0,1,0,white,MW,4919
662,1,1,0,black,S,168
663,1,1,0,white,NE,264
664,0,1,0,white,NE,4614
665,1,0,0,white,S,11
666,1,1,0,white,W,480
667,1,1,0,white,NE,2905
668,1,1,0,white,S,1995
669,1,1,0,white,W,719
670,0,1,0,white,S,1426
671,0,1,1,white,MW,612
672,0,1,0,white,W,912
673,1,1,0,white,W,3864
674,1,1,0,white,NE,1031
675,1,0,0,white,W,30
676,0,0,0,white,NE,629
677,1,1,0,white,MW,228
678,1,1,0,white,S,23
679,1,0,1,white,MW,1804
680,0,1,0,white,S,2550
681,0,1,0,white,S,285
682,1,1,0,white,W,599
683,1,1,0,white,S,6
684,1,1,0,white,MW,1684
685,1,1,1,black,NE,592
686,1,1,0,white,NE,175
687,1,1,0,white,S,180
688,1,1,1,white,S,48
689,1,0,0,white,S,2535
690,1,1,0,white,S,1985
691,1,1,0,white,MW,350
692,0,1,0,white,NE,18632
693,1,1,1,white,S,591
694,1,1,0,white,MW,18
695,1,1,0,white,W,7637
696,1,1,0,white,NE,679
697,1,1,1,white,S,2820
698,1,1,0,white,W,8629
699,0,1,0,white,S,369
700,1,0,0,white,MW,90
701,1,1,0,white,NE,815
702,1,1,0,white,S,18
703,0,1,0,white,S,1268
704,0,1,0,white,NE,8825
705,1,0,0,white,NE,310
706,1,1,0,white,NE,42586
707,1,1,0,white,S,1192
708,1,0,0,white,NE,337
709,1,1,0,white,S,4358
710,1,1,0,white,S,366
711,1,0,0,white,W,121
712,1,1,0,white,W,672
713,1,1,0,white,NE,1619
714,0,1,0,white,NE,1275
715,1,1,0,white,S,1769
716,1,1,0,white,MW,104
717,0,1,0,white,MW,626
718,1,1,0,white,W,2979
719,0,1,0,white,S,73
720,1,1,0,white,S,296
721,1,1,0,white,W,149
722,0,0,0,white,MW,229
723,1,1,0,black,NE,890
724,1,1,0,white,MW,301
725,0,1,0,white,S,119
726,1,1,0,black,NE,7172
727,0,1,0,white,NE,180
728,1,1,0,black,S,1714
729,0,1,0,white,NE,5139
730,1,1,0,white,MW,155
731,0,0,1,white,S,1193
732,1,1,0,white,MW,288
733,0,1,0,white,S,382
734,1,1,0,white,S,277
735,0,1,0,white,S,673
736,1,1,0,white,S,1616
737,1,1,0,white,S,10312
738,1,1,1,white,MW,32
739,0,1,0,white,S,282
740,1,0,0,white,MW,4343
741,1,1,0,white,S,2811
742,0,0,0,white,MW,2087
743,0,0,0,white,MW,135
744,0,1,0,white,S,29
745,1,1,1,white,NE,2074
746,0,0,0,white,S,73
747,0,0,0,white,S,4167
748,0,1,0,white,MW,532
749,1,1,0,white,NE,1987
750,1,1,1,white,MW,68
751,0,1,0,white,MW,1626
752,0,0,0,white,S,593
753,0,1,0,black,S,631
754,0,1,0,white,S,3784
755,0,1,1,white,S,345
756,1,1,0,white,NE,185
757,1,1,0,black,MW,202
758,1,1,0,white,S,260
759,0,1,0,white,W,2578
760,1,1,0,white,S,30
761,0,1,0,white,S,28
762,1,1,1,white,NE,160
763,1,1,0,white,W,31
764,0,1,0,white,S,1725
765,1,0,0,white,MW,20
766,1,1,0,white,S,847
767,0,1,0,white,W,1247
768,0,1,0,black,S,507
769,1,1,0,white,MW,5888
770,0,1,0,white,S,77
771,0,0,0,white,S,105
772,1,0,0,white,S,848
773,1,0,0,white,NE,70
774,1,1,0,white,NE,42
775,1,1,0,white,S,6248
776,1,1,0,white,MW,801
777,0,0,0,white,S,180
778,1,1,0,white,W,95
779,1,1,0,white,S,3210
780,0,1,1,white,W,1074
781,1,1,0,white,W,1168
782,1,1,1,white,W,1268
783,1,1,1,black,S,2579
784,1,1,1,white,S,23
785,1,1,0,white,W,3890
786,0,0,0,white,NE,27
787,0,1,0,white,S,256
788,1,1,0,white,S,1043
789,1,1,0,white,S,3057
790,1,1,0,white,S,628
791,0,1,1,white,NE,10588
792,1,1,0,white,W,62
793,1,1,1,white,NE,200
794,1,1,0,white,S,403
795,0,1,0,white,MW,40
796,0,1,0,white,W,7072
797,1,1,1,white,NE,131
798,0,1,0,white,NE,900
799,0,1,0,white,W,188
800,1,1,0,white,MW,2391
801,1,1,1,white,W,1581
802,0,1,0,white,W,979
803,1,0,1,white,NE,18210
804,1,1,0,white,MW,50
805,1,1,0,white,MW,25
806,0,1,0,white,MW,3615
807,0,1,0,asian,W,1910
808,1,1,0,white,MW,399
809,1,0,0,white,S,68
810,1,1,0,white,NE,589
811,1,1,0,asian,NE,460
812,0,1,0,white,W,218
813,1,1,0,white,NE,46
814,0,1,0,white,W,501
815,0,1,0,white,S,346
816,0,1,0,white,NE,91499
817,0,1,0,white,MW,3010
818,1,1,0,white,MW,3217
819,0,1,0,white,W,2127
820,1,0,0,white,W,532
821,1,1,0,white,MW,191
822,1,0,1,white,W,2568
823,1,1,0,white,NE,170
824,0,0,0,white,MW,4180
825,0,1,0,white,MW,340
826,0,1,0,white,NE,317
827,1,0,0,white,MW,808
828,1,1,0,white,W,173
829,0,1,1,white,NE,560
830,1,0,1,white,MW,107
831,1,1,0,white,S,1164
832,0,1,0,white,NE,868
833,1,0,1,black,S,1803
834,1,1,0,white,W,1420
835,1,0,0,white,MW,47
836,1,0,0,white,S,48
837,0,1,0,white,NE,1332
838,1,1,0,white,NE,2545
839,1,1,0,white,W,245
840,1,0,0,white,S,200
841,1,0,0,white,NE,192
842,1,1,0,white,W,1505
843,0,1,0,white,S,10
844,1,0,0,white,W,627
845,0,1,0,white,S,405
846,0,1,0,white,W,214
847,1,1,0,white,S,5254
848,0,1,0,white,MW,2756
849,1,1,0,white,W,317
850,0,1,1,white,NE,385
851,1,1,0,white,NE,23
852,1,1,0,white,W,26
853,0,1,0,white,S,404
854,0,1,0,black,S,347
855,1,1,0,white,W,2860
856,1,1,0,white,S,327
857,0,1,0,white,W,191
858,1,1,0,white,NE,4726
859,0,1,0,white,S,336
860,1,1,0,white,MW,34294
861,0,1,0,white,W,2826
862,1,1,0,white,NE,308
863,1,1,0,black,S,63
864,1,1,1,white,MW,2116
865,1,1,1,white,NE,761
866,1,0,0,white,S,1185
867,0,1,0,white,S,586
868,1,1,0,white,NE,1432
869,1,1,0,white,S,2663
870,0,1,0,white,W,594
871,1,1,0,white,MW,145
872,0,1,0,white,W,248
873,1,1,1,white,MW,2950
874,0,1,0,white,S,14
875,1,1,0,white,MW,265
876,1,1,0,white,MW,140
877,0,1,0,white,S,20
878,1,0,1,white,W,221
879,1,1,0,white,MW,4557
880,0,1,0,white,S,31
881,0,1,0,white,S,2831
882,0,1,0,white,S,47
883,0,1,0,white,S,22
884,1,1,0,asian,W,1064
885,1,0,1,white,NE,2048
886,1,1,0,white,S,476
887,1,1,0,white,S,3015
888,1,0,0,white,S,5540
889,1,0,1,white,MW,104
890,1,1,0,white,W,17743
891,0,1,0,white,S,2567
892,0,1,0,white,NE,30
893,0,0,1,white,W,208
894,0,0,0,white,W,3849
895,0,1,0,white,S,96
896,0,1,0,white,MW,777
897,0,1,0,white,S,871
898,0,1,0,white,MW,244
899,0,1,0,white,MW,1823
900,0,0,1,white,S,14713
901,1,1,0,white,W,1071
902,1,1,0,white,W,4337
903,1,1,1,white,S,1060
904,1,1,0,white,S,515
905,0,1,0,white,NE,3055
906,0,1,0,white,S,9643
907,1,1,1,black,W,1220
908,0,1,0,white,S,11905
909,1,1,0,white,W,476
910,0,0,0,white,NE,1109
911,1,1,0,white,NE,224
912,0,1,1,white,MW,308
913,0,1,0,white,S,2775
914,1,1,0,white,S,2464
915,1,1,1,white,NE,722
916,0,1,0,white,S,792
917,0,1,0,white,W,1212
918,1,1,0,white,W,28
919,1,1,0,white,W,2696
920,1,0,0,white,NE,753
921,1,1,1,white,S,45
922,1,1,1,white,W,142
923,1,1,0,white,MW,69
924,1,1,0,white,S,38
925,1,1,0,white,S,222
926,1,1,0,white,S,767
927,0,1,0,white,W,506
928,0,1,0,white,S,298
929,1,1,0,white,NE,342
930,0,1,0,white,S,1945
931,1,1,0,white,S,464
932,1,1,1,white,W,534
933,0,1,0,white,MW,186
934,0,1,0,white,W,274
935,0,1,0,white,S,699
936,1,1,0,white,S,238
937,0,0,1,white,S,200
938,1,1,0,white,S,787
939,0,1,0,white,S,284
940,1,1,1,white,S,4113
941,0,1,0,white,S,323
942,1,1,0,white,MW,645
943,0,1,0,white,S,1139
