Viewer,Show,Q1_Attentive,Q1_Excited,Q1_Happy,Q1_Engaged,Q1_Curious,Q1_Motivated,Q1_Comforted,Q1_Annoyed,Q1_Indifferent,Q2_Relatable,Q2_Funny,Q2_Confusing,Q2_Predictable,Q2_Entertaining,Q2_Fantasy,Q2_Original,Q2_Believable,Q2_Boring,Q2_Dramatic,Q2_Suspenseful
80,Real World XVIII Denver Launch,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,America's Next Top Model,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,Ugly Betty,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,Heroes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,Grey's Anatomy,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
83,Monk,4,4,4,4,4,4,3,1,2,3,5,1,2,5,3,5,3,2,4,4
83,Supernatural,3,4,3,3,4,3,2,2,2,2,3,3,3,4,4,4,2,2,4,4
83,Smallville,5,5,5,5,4,4,4,1,2,4,4,3,2,5,5,4,3,1,5,5
83,The War at Home,3,3,3,3,3,3,3,3,3,2,4,2,3,3,1,3,3,3,2,2
83,The Apprentice: Los Angeles,3,3,3,3,3,3,2,4,4,2,3,2,3,3,2,2,2,3,3,3
83,Bones,5,5,5,5,4,4,4,1,1,3,5,2,2,5,2,5,3,1,5,5
84,Next,3,3,3,3,3,3,3,3,3,2,3,2,4,3,2,3,2,3,3,2
86,Top Chef,3,2,3,3,2,2,1,2,3,1,4,1,4,4,5,3,3,3,3,1
86,Cops,5,4,5,5,4,4,4,3,3,4,4,1,4,5,4,5,4,1,4,3
86,Cold Case,4,4,4,5,5,4,4,3,3,3,4,3,3,5,3,5,4,1,5,5
87,Iron Chef America,4,5,3,4,5,3,2,2,1,2,2,4,2,5,5,5,3,1,4,4
87,Lost,5,5,5,5,5,4,3,3,1,4,3,3,2,5,5,5,3,1,4,4
87,Heroes,5,5,5,5,3,4,5,2,1,3,3,2,3,5,3,2,3,1,4,3
87,Grey's Anatomy,5,5,5,5,5,5,3,1,1,3,4,1,4,4,1,4,5,1,3,3
88,Next,3,3,3,3,3,1,3,1,2,1,5,1,3,5,2,5,1,1,3,1
88,Real World XVIII Denver Launch,2,2,2,2,2,1,2,2,5,2,3,1,5,2,5,4,1,2,5,2
88,American Chopper,4,3,3,4,4,2,2,1,2,2,4,1,2,5,1,4,5,1,2,1
88,Cops,4,3,3,4,3,1,2,1,2,3,5,1,3,5,2,5,4,1,4,4
88,America's Next Top Model,3,2,3,3,3,1,1,1,4,1,4,1,3,3,3,5,3,2,5,1
89,Top Chef,5,3,3,4,4,4,3,2,1,4,3,1,2,3,3,3,4,1,2,3
89,What Not to Wear,4,1,1,4,5,3,1,1,1,1,4,1,3,3,4,5,1,1,2,3
89,Monk,5,1,1,5,5,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5
89,Cold Case,4,1,1,4,4,2,1,2,1,1,3,2,2,4,4,4,4,1,3,3
89,Bones,5,5,5,5,5,5,4,2,1,5,4,1,3,4,1,5,5,1,5,1
89,The Biggest Loser,5,3,3,5,4,4,3,4,1,3,4,1,3,4,4,5,3,1,4,4
90,Law and Order: Criminal Intent,5,4,4,5,5,4,4,3,4,3,1,3,3,5,3,3,3,3,5,5
90,Grey's Anatomy,5,4,4,4,4,4,5,4,4,4,5,4,2,5,4,4,4,2,5,3
92,Next,3,3,3,2,3,3,3,3,4,3,4,2,3,4,2,2,1,2,2,2
92,Cops,2,2,5,4,2,2,2,2,2,2,4,2,2,5,2,4,4,2,3,2
92,30 Rock,3,2,4,2,2,2,3,2,2,2,4,2,2,4,2,3,2,2,2,2
93,Next,5,5,5,5,5,5,5,1,1,5,3,1,4,5,1,5,5,1,1,5
93,House Hunters,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,5
93,My Super Sweet 16,5,5,5,5,5,5,5,1,1,5,5,1,1,5,1,5,5,1,1,1
93,What Not to Wear,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,5,5,1,5,5
93,Real World XVIII Denver Launch,5,5,5,5,5,5,5,1,1,5,5,1,1,5,1,5,5,1,5,5
94,Next,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
94,My Super Sweet 16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
94,Monk,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
94,CSI: Crime Scene Investigation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
95,Grey's Anatomy,5,4,3,5,4,4,3,1,1,3,4,1,3,5,1,5,4,1,4,4
96,My Super Sweet 16,3,3,3,2,2,1,2,4,3,1,3,3,4,5,4,4,3,2,4,2
96,What Not to Wear,3,4,4,3,4,4,3,2,3,4,4,2,3,4,2,4,4,2,3,3
97,Top Chef,3,2,3,3,4,2,2,1,4,3,4,2,2,4,1,4,3,2,1,1
97,30 Rock,4,3,2,4,4,2,2,1,1,2,2,3,4,4,1,3,2,2,4,3
97,Law and Order: Criminal Intent,4,3,3,4,4,3,2,3,1,2,3,3,4,4,1,3,2,2,3,3
97,The Apprentice: Los Angeles,5,4,3,5,4,3,3,2,1,3,3,2,3,5,1,4,2,1,3,3
97,My Name is Earl,4,3,2,4,3,2,2,2,1,2,5,1,3,5,1,5,3,1,3,2
97,Two and a Half Men,5,3,3,4,3,3,2,1,2,2,5,1,3,5,1,4,2,1,1,1
98,My Super Sweet 16,3,2,3,3,3,3,2,5,3,1,4,1,5,3,4,3,3,3,5,2
98,Heroes,4,4,4,4,4,3,3,1,3,2,3,2,3,5,4,5,2,1,4,4
98,Grey's Anatomy,5,5,5,5,5,4,4,1,3,3,5,2,4,5,3,2,4,1,4,4
99,Next,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,My Super Sweet 16,5,5,5,5,5,5,3,1,1,1,4,1,1,5,1,4,1,1,5,1
101,Lost,5,5,5,5,5,3,3,3,1,1,4,4,1,5,3,5,3,1,5,5
102,Next,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,4,2
102,House Hunters,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
102,My Super Sweet 16,4,4,4,5,5,4,5,5,4,4,4,2,4,4,2,4,5,3,4,4
102,Real World XVIII Denver Launch,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
107,Supernatural,5,4,2,3,5,3,2,1,1,3,2,1,3,5,5,5,1,1,5,4
107,Smallville,5,3,3,4,4,4,1,1,1,3,3,1,3,5,5,5,2,1,5,4
107,Cops,5,5,5,5,5,5,3,1,1,5,5,1,1,5,1,5,5,1,5,1
107,The War at Home,5,5,5,4,2,4,1,1,1,5,5,1,1,5,3,5,4,1,1,1
107,Heroes,5,5,5,5,5,5,1,1,1,3,1,1,1,5,5,5,2,1,5,5
108,Top Chef,4,4,4,4,5,3,1,1,1,3,4,3,2,5,3,5,4,1,5,4
108,Iron Chef America,3,3,2,2,3,3,1,2,3,3,3,1,3,4,1,3,4,3,5,4
108,Project Runway,4,4,4,4,4,3,3,2,1,5,3,1,2,5,1,3,5,1,3,1
108,Law and Order: Criminal Intent,5,4,5,5,5,5,3,2,1,4,5,3,5,5,1,5,5,1,5,4
109,Next,4,4,3,3,4,2,3,3,3,2,3,2,3,4,2,3,2,2,2,3
109,My Super Sweet 16,3,2,3,3,2,2,2,2,3,2,3,2,4,3,3,3,2,3,3,3
109,What Not to Wear,3,4,4,4,4,4,4,2,2,4,3,2,2,4,2,4,4,1,3,3
109,Real World XVIII Denver Launch,4,4,4,3,4,3,4,3,1,4,4,2,3,4,2,4,3,1,4,3
109,Las Vegas,4,4,4,4,4,4,3,1,1,4,4,1,2,4,1,4,4,1,4,4
113,Living with Ed,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
113,Next,4,4,4,4,4,4,4,4,3,5,5,3,3,5,3,5,5,3,5,5
113,House Hunters,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
113,My Super Sweet 16,5,5,5,5,5,5,5,5,3,3,5,3,5,5,5,5,5,3,5,5
113,What Not to Wear,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
116,My Super Sweet 16,4,3,4,2,4,4,3,2,3,4,3,2,4,4,1,4,4,2,3,2
116,What Not to Wear,4,4,4,4,4,4,3,2,2,5,5,1,5,4,1,5,5,1,5,4
116,Real World XVIII Denver Launch,4,5,5,5,5,4,3,1,1,2,5,2,3,5,1,4,2,1,5,5
116,America's Next Top Model,4,4,5,4,4,2,3,2,2,2,4,2,4,5,2,5,5,2,5,2
117,Living with Ed,4,3,4,4,4,3,4,3,4,3,4,4,3,2,4,3,4,4,3,3
117,Next,3,2,4,3,4,3,4,3,3,3,3,4,4,4,4,3,3,3,4,3
117,My Super Sweet 16,2,2,2,2,2,3,2,2,4,3,3,4,3,4,4,4,3,4,3,4
117,What Not to Wear,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
117,Monk,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,4,3,3
119,Next,2,3,3,4,4,2,2,3,4,2,5,2,4,5,1,5,3,2,2,2
119,My Super Sweet 16,4,3,3,4,4,3,4,4,3,2,3,1,3,4,1,5,3,3,4,1
119,Real World XVIII Denver Launch,4,3,3,5,3,3,3,3,2,4,4,2,4,4,1,4,3,2,5,2
119,America's Next Top Model,4,4,4,4,2,4,4,3,2,2,2,1,3,4,2,4,4,1,4,3
119,Bones,5,5,4,5,5,5,2,2,3,2,3,2,2,5,3,5,5,1,5,5
119,Grey's Anatomy,5,5,4,5,5,4,4,2,2,3,3,3,3,5,1,5,5,1,5,5
120,The War at Home,4,4,4,4,2,1,1,1,2,3,5,1,3,5,3,4,4,1,3,3
120,Lost,5,5,4,5,5,3,3,2,1,3,3,3,2,5,4,4,2,1,5,5
122,Grey's Anatomy,5,5,5,5,5,4,3,1,2,3,4,2,2,5,2,3,2,1,5,4
123,My Super Sweet 16,3,3,3,4,4,1,1,2,3,2,3,1,4,3,4,2,3,2,3,2
123,What Not to Wear,4,3,3,3,4,4,3,3,3,4,3,1,3,4,3,3,4,2,1,4
123,Real World XVIII Denver Launch,4,3,4,4,4,2,2,2,2,4,4,2,2,4,2,4,4,2,4,4
123,Monk,4,2,4,3,4,2,2,2,2,2,3,2,2,3,2,4,3,2,2,3
124,Project Runway,5,3,3,4,4,3,2,2,2,3,3,5,1,5,5,5,1,1,5,5
124,Lost,3,4,2,3,4,2,2,2,3,3,4,1,2,5,3,4,3,3,5,4
124,CSI: Crime Scene Investigation,2,2,2,2,2,2,2,2,5,1,4,2,2,4,1,4,3,4,3,3
126,American Chopper,4,5,5,5,5,4,3,1,1,4,5,1,1,5,1,5,5,1,3,1
126,Smallville,5,5,5,4,5,5,4,1,1,5,3,2,1,5,5,5,3,1,5,5
126,The Unit,4,4,4,4,4,5,3,1,2,5,3,3,2,5,2,5,5,1,5,5
126,Two and a Half Men,4,4,5,4,4,3,4,1,2,5,5,1,3,5,1,5,5,1,4,2
126,CSI: Crime Scene Investigation,5,5,5,5,5,5,5,1,1,5,3,1,1,5,1,5,5,1,5,5
129,Next,2,1,3,3,3,1,1,4,3,1,2,1,4,3,4,1,1,2,5,1
129,My Super Sweet 16,3,1,2,3,4,2,1,5,1,1,3,1,4,3,5,1,3,1,5,1
129,Real World XVIII Denver Launch,5,3,3,4,4,4,4,2,1,5,3,1,2,4,3,2,4,1,4,3
129,The Apprentice: Los Angeles,2,2,2,3,4,4,2,2,4,2,2,2,3,3,1,3,4,3,2,3
129,Ugly Betty,3,2,3,3,3,2,4,2,4,3,3,2,2,3,2,3,3,2,3,1
129,Grey's Anatomy,4,4,4,4,4,4,4,2,2,4,4,1,2,5,2,3,3,1,4,3
130,My Name is Earl,4,3,3,4,4,1,2,1,1,4,5,1,4,5,2,4,3,1,2,3
130,CSI: Crime Scene Investigation,4,4,3,4,4,2,1,1,1,3,2,3,3,5,4,4,4,1,4,5
130,Grey's Anatomy,5,5,4,5,5,2,2,1,1,4,5,1,1,5,4,3,5,1,5,5
131,Next,4,3,3,4,5,1,2,1,2,2,4,1,1,5,2,1,4,3,1,4
131,What Not to Wear,4,3,2,1,5,1,3,2,1,3,3,1,4,4,1,4,4,2,4,1
131,Real World XVIII Denver Launch,5,5,4,4,5,1,1,1,1,2,4,1,3,5,1,2,4,1,5,4
131,American Chopper,5,5,4,5,5,3,2,1,2,3,5,1,1,5,1,5,5,1,4,3
131,Supernatural,4,4,4,3,5,1,1,1,1,1,4,3,1,5,5,5,1,1,4,5
132,What Not to Wear,3,3,3,4,4,3,2,2,2,3,4,1,1,4,3,3,3,1,1,1
132,Cops,3,1,1,3,1,1,1,3,3,1,3,3,3,3,2,3,3,2,3,3
132,Law and Order: Criminal Intent,4,4,2,4,4,2,2,2,2,2,2,3,2,4,2,4,4,2,4,4
132,The Biggest Loser,4,2,2,4,4,4,4,1,1,4,2,1,1,4,1,4,4,1,4,4
132,Two and a Half Men,4,3,4,3,2,2,3,2,2,1,5,1,1,5,1,5,1,1,1,1
132,Dancing with the Stars,3,3,3,3,3,2,2,2,2,2,3,2,2,4,2,4,2,2,2,4
133,What Not to Wear,4,3,4,4,4,4,3,2,3,4,3,1,3,4,3,4,4,2,4,2
133,Veronica Mars,4,4,4,4,4,3,3,2,3,3,3,2,2,4,3,3,3,2,4,4
133,The Apprentice: Los Angeles,4,5,4,4,4,3,3,3,3,3,3,1,3,4,2,3,4,2,5,3
133,Ugly Betty,4,4,4,4,4,4,3,1,3,4,5,2,2,5,3,4,4,1,4,4
133,Grey's Anatomy,4,4,5,4,5,4,4,2,3,4,4,2,3,5,2,4,4,2,4,4
136,My Super Sweet 16,4,3,2,4,5,1,1,5,3,1,3,3,4,4,5,5,2,3,5,3
136,What Not to Wear,5,4,4,5,5,5,4,1,1,4,5,1,3,5,4,5,4,1,5,4
136,American Chopper,4,4,4,3,5,1,3,2,2,3,5,1,5,5,1,4,3,2,4,2
136,Monk,5,3,4,4,5,2,4,1,2,3,5,1,2,5,1,5,3,3,4,4
136,30 Rock,3,3,5,2,2,1,2,3,2,2,5,1,3,5,1,5,2,2,5,4
140,American Chopper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,Cold Case,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,Lost,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,CSI: Crime Scene Investigation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,Grey's Anatomy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,30 Rock,5,5,5,5,3,5,4,2,1,4,5,1,2,5,2,5,3,1,3,2
142,Heroes,5,5,5,5,5,5,5,2,1,3,3,1,2,5,5,5,3,1,5,5
143,My Super Sweet 16,2,1,3,2,3,1,1,5,2,2,3,1,3,3,4,2,1,2,3,1
143,Real World XVIII Denver Launch,4,3,4,3,4,3,3,4,3,2,4,3,4,4,2,3,2,3,4,2
143,Veronica Mars,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3
143,America's Next Top Model,3,3,3,3,3,3,3,4,2,3,4,2,3,4,3,3,3,3,3,3
143,Law and Order: Criminal Intent,4,4,4,4,4,4,4,3,2,3,3,3,4,5,3,4,3,2,4,5
145,Real World XVIII Denver Launch,2,2,3,3,2,1,2,3,3,4,3,2,3,2,3,3,1,3,2,3
145,Smallville,2,4,3,3,3,2,4,3,2,2,3,2,3,3,4,3,2,2,3,3
145,Law and Order: Criminal Intent,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,5
145,Cold Case,4,4,4,2,3,3,3,2,3,4,4,4,3,4,4,4,4,2,4,4
145,Ugly Betty,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
148,Next,4,3,3,3,4,2,2,4,5,2,4,1,4,4,2,4,3,2,2,2
148,House Hunters,5,4,4,5,5,5,4,1,1,5,2,2,4,5,1,4,4,2,1,1
148,What Not to Wear,5,4,4,5,5,4,3,2,3,4,4,1,4,5,1,4,4,1,3,4
148,Real World XVIII Denver Launch,5,2,2,5,4,2,2,3,5,4,4,5,2,5,1,5,3,2,5,5
148,Cops,5,4,2,5,5,3,3,3,2,3,5,4,2,5,1,5,5,1,5,5
148,America's Next Top Model,5,3,5,5,4,3,3,4,3,2,5,3,4,5,3,5,3,1,5,5
149,Monk,5,3,5,5,4,3,5,1,3,2,5,2,3,5,1,4,2,1,2,3
149,30 Rock,3,3,5,3,1,2,4,2,3,2,5,1,4,4,1,4,2,2,1,1
149,The War at Home,3,2,4,3,2,2,2,2,3,5,5,1,4,4,1,4,4,1,1,1
149,My Name is Earl,3,4,4,4,4,4,4,1,3,3,5,1,3,5,1,5,4,1,1,2
149,Lost,4,5,4,4,5,3,3,3,3,1,1,4,1,5,4,4,2,1,4,5
151,Grey's Anatomy,5,5,5,5,5,5,5,1,1,3,3,1,3,4,3,3,3,1,4,3
152,My Super Sweet 16,2,2,2,2,2,1,2,4,2,2,3,2,5,3,2,4,2,2,2,2
152,Real World XVIII Denver Launch,2,3,3,4,4,2,3,4,3,2,4,1,4,4,2,4,4,2,4,5
153,Top Chef,2,2,2,2,4,3,1,2,1,2,3,1,4,3,5,2,5,1,3,2
153,What Not to Wear,4,2,2,4,4,1,1,1,1,1,4,3,2,4,2,5,2,1,3,3
153,Monk,5,4,4,5,3,2,2,2,1,2,2,3,1,5,5,5,3,1,5,5
153,The Apprentice: Los Angeles,2,3,5,3,3,5,4,1,1,5,3,1,1,3,1,5,5,2,5,3
153,The Biggest Loser,3,2,3,3,3,3,1,3,1,3,3,1,2,4,1,3,5,1,3,2
154,Iron Chef America,4,3,3,3,4,4,3,3,3,3,3,1,3,4,2,4,3,1,4,4
154,The Apprentice: Los Angeles,4,5,5,4,2,3,4,1,3,2,5,1,4,5,1,4,2,1,4,3
154,Two and a Half Men,5,4,4,5,4,4,4,1,3,2,4,1,3,5,5,4,3,1,5,5
154,Grey's Anatomy,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
157,My Super Sweet 16,4,3,3,4,4,1,4,4,3,1,3,1,4,4,4,3,2,3,3,2
157,What Not to Wear,4,4,4,4,5,3,3,2,2,3,4,1,3,4,2,4,4,2,3,4
157,Real World XVIII Denver Launch,4,4,4,4,4,3,3,3,3,3,4,2,3,4,3,3,4,2,5,4
157,Grey's Anatomy,5,5,4,5,5,3,4,3,1,3,4,3,2,5,3,3,3,1,5,5
158,Next,3,3,3,3,3,3,3,3,3,4,5,1,4,4,3,5,3,3,5,5
158,My Super Sweet 16,3,3,3,3,3,3,3,3,3,3,5,1,3,5,1,5,5,1,5,3
158,Real World XVIII Denver Launch,3,3,3,3,3,3,3,3,3,3,5,1,5,5,5,5,5,1,5,5
158,Cops,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
158,America's Next Top Model,5,4,5,5,5,5,5,1,2,3,3,3,3,3,3,3,3,3,3,3
159,My Super Sweet 16,3,2,2,3,3,2,2,5,3,3,3,3,2,4,1,2,4,2,5,2
159,Real World XVIII Denver Launch,5,3,4,5,4,2,3,2,3,4,5,3,3,5,1,4,4,2,4,2
159,America's Next Top Model,4,3,3,4,4,4,2,3,3,2,4,2,2,4,1,4,4,2,4,3
159,CSI: Crime Scene Investigation,5,4,5,5,5,3,3,3,3,2,3,3,2,4,1,4,4,1,4,5
159,Grey's Anatomy,5,5,5,5,4,3,3,3,3,3,5,2,2,4,1,4,4,2,5,4
160,Supernatural,5,5,3,5,5,5,3,1,1,3,2,2,2,5,5,5,3,1,5,5
160,Cops,5,4,2,5,5,3,2,2,3,4,4,1,2,5,1,5,5,2,4,4
160,Friday Night Lights,5,5,4,5,2,5,4,2,1,5,4,1,1,5,3,5,5,1,5,4
160,30 Rock,4,5,5,5,4,3,3,1,2,3,5,2,3,5,5,5,3,1,5,3
161,Trading Spaces: All Stars,4,5,4,5,4,4,3,2,1,5,4,1,2,5,1,5,4,1,4,4
161,What Not to Wear,3,3,3,3,3,3,3,1,3,3,4,1,2,5,2,4,4,2,4,4
161,Dancing with the Stars,5,5,5,5,5,3,5,5,1,5,5,2,1,5,4,5,4,1,5,5
161,Grey's Anatomy,3,3,3,3,3,3,1,3,3,4,4,3,1,5,4,5,3,1,5,5
163,Grey's Anatomy,5,5,5,5,5,5,5,5,5,5,5,1,3,5,3,5,5,3,5,5
164,Law and Order: Criminal Intent,5,4,3,5,5,3,3,1,3,2,2,3,2,5,1,4,3,1,5,4
164,Cold Case,5,4,2,5,5,2,3,1,1,3,2,2,2,5,1,5,3,1,4,4
164,Two and a Half Men,4,4,4,4,1,1,4,1,1,5,5,1,4,5,1,5,5,1,2,2
164,CSI: Crime Scene Investigation,5,4,4,5,5,1,3,1,1,4,2,2,2,5,1,5,4,1,5,5
164,Grey's Anatomy,4,4,4,5,4,2,2,1,1,3,4,3,3,5,1,4,4,1,3,4
166,Cops,5,4,4,5,3,4,3,3,4,4,5,5,4,4,5,5,5,5,5,5
166,Friday Night Lights,5,5,4,5,4,5,4,2,5,4,4,3,5,4,5,4,5,2,5,4
166,The Apprentice: Los Angeles,5,5,4,4,5,4,4,3,2,4,5,2,4,5,3,4,5,2,4,5
166,CSI: Crime Scene Investigation,5,4,4,4,3,5,5,4,4,5,4,4,5,3,5,5,4,2,4,5
167,Project Runway,2,2,2,2,2,2,2,2,2,1,4,1,4,4,3,2,1,3,1,1
167,Next,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
167,My Super Sweet 16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
167,Real World XVIII Denver Launch,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
167,Law and Order: Criminal Intent,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
170,My Super Sweet 16,3,3,2,2,4,3,3,4,3,2,4,1,4,5,2,3,3,1,2,2
170,Monk,3,3,4,4,4,4,3,3,2,2,5,2,3,4,2,4,3,2,4,4
170,Law and Order: Criminal Intent,5,3,3,4,4,4,3,2,3,3,2,2,4,4,2,2,3,1,4,4
170,Lost,4,3,4,4,5,5,4,4,3,3,3,2,3,5,3,5,4,3,5,5
170,Dancing with the Stars,3,4,4,3,3,3,4,3,4,2,3,2,3,5,2,4,4,2,3,4
171,America's Next Top Model,4,3,3,3,4,3,3,3,3,2,4,2,3,4,2,4,4,2,3,3
171,Law and Order: Criminal Intent,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
171,My Name is Earl,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
171,Lost,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
173,Monk,4,3,1,4,4,1,1,1,3,2,4,2,2,3,1,3,2,2,4,3
173,Heroes,4,3,1,4,3,1,1,1,1,1,2,3,2,4,5,4,1,2,2,4
175,Monk,4,3,4,1,1,4,1,1,1,3,4,2,3,4,2,4,4,2,3,3
177,My Super Sweet 16,4,3,4,4,4,1,1,4,3,1,3,2,4,5,1,3,4,3,1,1
177,What Not to Wear,4,4,4,4,4,5,4,1,1,5,4,1,5,5,1,4,5,1,1,1
177,Real World XVIII Denver Launch,4,2,4,4,4,1,1,3,4,3,4,5,4,4,1,2,4,1,5,1
177,America's Next Top Model,4,4,4,4,4,1,1,4,1,1,3,1,1,5,1,5,4,1,5,1
177,The Biggest Loser,4,2,4,4,2,5,1,1,3,4,4,1,1,4,1,5,4,1,4,1
177,Grey's Anatomy,5,5,5,5,5,1,5,5,5,3,5,5,3,5,1,5,5,1,5,5
180,What Not to Wear,4,3,4,4,2,3,2,2,2,4,4,1,3,4,1,4,4,2,2,1
180,Bones,4,2,3,4,5,1,2,1,1,4,3,2,2,4,2,3,4,1,4,3
180,Ugly Betty,4,3,4,4,3,2,3,1,1,3,4,1,2,4,2,4,3,1,3,3
180,Lost,4,5,4,5,5,1,3,2,1,4,5,4,2,5,5,5,3,1,5,5
180,Grey's Anatomy,5,4,4,5,3,2,4,1,1,5,5,1,2,5,2,4,4,1,5,3
