"member","state","party"
"PUTNAM (R FL-12)","FL","R"
"BUCHANAN (R FL-13)","FL","R"
"MACK (R FL-14)","FL","R"
"POSEY (R FL-15)","FL","R"
"ROONEY (R FL-16)","FL","R"
"MEEK (D FL-17)","FL","D"
"ROS-LEHT (R FL-18)","FL","R"
"WEXLER (D FL-19)","FL","D"
"DEUTCH (D FL-19)","FL","D"
"WASSERMA (D FL-20)","FL","D"
"DIAZ-BAL (R FL-21)","FL","R"
"KLEIN (D FL-22)","FL","D"
"HASTINGS (D FL-23)","FL","D"
"KOSMAS (D FL-24)","FL","D"
"DIAZ-BALA (R FL-25)","FL","R"
"KINGSTON (R GA-1)","GA","R"
"BISHOP (D GA-2)","GA","D"
"WESTMORE (R GA-3)","GA","R"
"JOHNSON (D GA-4)","GA","D"
"LEWIS (D GA-5)","GA","D"
"PRICE (R GA-6)","GA","R"
"LINDER (R GA-7)","GA","R"
"MARSHALL (D GA-8)","GA","D"
"DEAL (R GA-9)","GA","R"
"GRAVES (R GA-9)","GA","R"
"BROUN (R GA-10)","GA","R"
"GINGREY (R GA-11)","GA","R"
"BARROW (D GA-12)","GA","D"
"SCOTT (D GA-13)","GA","D"
"ABERCROM (D HI-1)","HI","D"
"DJOU (R HI-1)","HI","R"
"HIRONO (D HI-2)","HI","D"
"MINNICK (D ID-1)","ID","D"
"SIMPSON (R ID-2)","ID","R"
"RUSH (D IL-1)","IL","D"
"JACKSON (D IL-2)","IL","D"
"LIPINSKI (D IL-3)","IL","D"
"GUTIERRE (D IL-4)","IL","D"
"QUIGLEY (D IL-5)","IL","D"
"ROSKAM (R IL-6)","IL","R"
"DAVIS (D IL-7)","IL","D"
"BEAN (D IL-8)","IL","D"
"SCHAKOWS (D IL-9)","IL","D"
"KIRK (R IL-10)","IL","R"
"HALVORSON (D IL-11)","IL","D"
"COSTELLO (D IL-12)","IL","D"
"BIGGERT (R IL-13)","IL","R"
"FOSTER (D IL-14)","IL","D"
"JOHNSON (R IL-15)","IL","R"
"MANZULLO (R IL-16)","IL","R"
"HARE (D IL-17)","IL","D"
"SCHOCK (R IL-18)","IL","R"
"SHIMKUS (R IL-19)","IL","R"
"VISCLOSK (D IN-1)","IN","D"
"DONNELLY (D IN-2)","IN","D"
"SOUDER (R IN-3)","IN","R"
"STUTZMAN (R IN-3)","IN","R"
"BUYER (R IN-4)","IN","R"
"BURTON (R IN-5)","IN","R"
"PENCE (R IN-6)","IN","R"
"CARSON (D IN-7)","IN","D"
"ELLSWORTH (D IN-8)","IN","D"
"HILL (D IN-9)","IN","D"
"BRALEY (D IA-1)","IA","D"
"LOEBSACK (D IA-2)","IA","D"
"BOSWELL (D IA-3)","IA","D"
"LATHAM (R IA-4)","IA","R"
"KING (R IA-5)","IA","R"
"MORAN (R KS-1)","KS","R"
"JENKINS (R KS-2)","KS","R"
"MOORE (D KS-3)","KS","D"
"TIAHRT (R KS-4)","KS","R"
"WHITFIEL (R KY-1)","KY","R"
"GUTHRIE (R KY-2)","KY","R"
"YARMUTH (D KY-3)","KY","D"
"DAVIS (R KY-4)","KY","R"
"ROGERS (R KY-5)","KY","R"
"CHANDLER (D KY-6)","KY","D"
"SCALISE (R LA-1)","LA","R"
"CAO (R LA-2)","LA","R"
"MELANCON (D LA-3)","LA","D"
"FLEMING (R LA-4)","LA","R"
"ALEXANDER (R LA-5)","LA","R"
"CASSIDY (R LA-6)","LA","R"
"BOUSTANY (R LA-7)","LA","R"
"PINGREE (D ME-1)","ME","D"
"MICHAUD (D ME-2)","ME","D"
"KRATOVIL (D MD-1)","MD","D"
"RUPPERSBE (D MD-2)","MD","D"
"SARBANES (D MD-3)","MD","D"
"EDWARDS (D MD-4)","MD","D"
"HOYER (D MD-5)","MD","D"
"BARTLETT (R MD-6)","MD","R"
"CUMMINGS (D MD-7)","MD","D"
"VAN (D MD-8)","MD","D"
"OLVER (D MA-1)","MA","D"
"NEAL (D MA-2)","MA","D"
"MCGOVERN (D MA-3)","MA","D"
"FRANK (D MA-4)","MA","D"
"TSONGAS (D MA-5)","MA","D"
"TIERNEY (D MA-6)","MA","D"
"MARKEY (D MA-7)","MA","D"
"CAPUANO (D MA-8)","MA","D"
"LYNCH (D MA-9)","MA","D"
"DELAHUNT (D MA-10)","MA","D"
"STUPAK (D MI-1)","MI","D"
"HOEKSTRA (R MI-2)","MI","R"
"EHLERS (R MI-3)","MI","R"
"CAMP (R MI-4)","MI","R"
"KILDEE (D MI-5)","MI","D"
"UPTON (R MI-6)","MI","R"
"SCHAUER (D MI-7)","MI","D"
"ROGERS (R MI-8)","MI","R"
"PETERS (D MI-9)","MI","D"
"MILLER (R MI-10)","MI","R"
"MCCOTTER (R MI-11)","MI","R"
"LEVIN (D MI-12)","MI","D"
"KILPATRI (D MI-13)","MI","D"
"CONYERS (D MI-14)","MI","D"
"DINGELL (D MI-15)","MI","D"
"WALZ (D MN-1)","MN","D"
"KLINE (R MN-2)","MN","R"
"PAULSEN (R MN-3)","MN","R"
"MCCOLLUM (D MN-4)","MN","D"
"ELLISON (D MN-5)","MN","D"
"BACHMANN (R MN-6)","MN","R"
"PETERSON (D MN-7)","MN","D"
"OBERSTAR (D MN-8)","MN","D"
"CHILDERS (D MS-1)","MS","D"
"THOMPSON (D MS-2)","MS","D"
"HARPER (R MS-3)","MS","R"
"TAYLOR (D MS-4)","MS","D"
"CLAY (D MO-1)","MO","D"
"AKIN (R MO-2)","MO","R"
"CARNAHAN (D MO-3)","MO","D"
"SKELTON (D MO-4)","MO","D"
"CLEAVER (D MO-5)","MO","D"
"GRAVES (R MO-6)","MO","R"
"BLUNT (R MO-7)","MO","R"
"EMERSON (R MO-8)","MO","R"
"LUETKEMEYER (R MO-9)","MO","R"
"REHBERG (R MT-1)","MT","R"
"FORTENBE (R NE-1)","NE","R"
"TERRY (R NE-2)","NE","R"
"SMITH (R NE-3)","NE","R"
"BERKLEY (D NV-1)","NV","D"
"HELLER (R NV-2)","NV","R"
"TITUS (D NV-3)","NV","D"
"SHEA-PORTER (D NH-1)","NH","D"
"HODES (D NH-2)","NH","D"
"ANDREWS (D NJ-1)","NJ","D"
"LOBIONDO (R NJ-2)","NJ","R"
"ADLER (D NJ-3)","NJ","D"
"SMITH (R NJ-4)","NJ","R"
"GARRETT (R NJ-5)","NJ","R"
"PALLONE (D NJ-6)","NJ","D"
"LANCE (R NJ-7)","NJ","R"
"PASCRELL (D NJ-8)","NJ","D"
"ROTHMAN (D NJ-9)","NJ","D"
"PAYNE (D NJ-10)","NJ","D"
"FRELINGH (R NJ-11)","NJ","R"
"HOLT (D NJ-12)","NJ","D"
"SIRES (D NJ-13)","NJ","D"
"HEINRICH (D NM-1)","NM","D"
"TEAGUE (D NM-2)","NM","D"
"LUJAN (D NM-3)","NM","D"
"BISHOP (D NY-1)","NY","D"
"ISRAEL (D NY-2)","NY","D"
"KING (R NY-3)","NY","R"
"MCCARTHY (D NY-4)","NY","D"
"ACKERMAN (D NY-5)","NY","D"
"MEEKS (D NY-6)","NY","D"
"CROWLEY (D NY-7)","NY","D"
"NADLER (D NY-8)","NY","D"
"WEINER (D NY-9)","NY","D"
"TOWNS (D NY-10)","NY","D"
"CLARKE (D NY-11)","NY","D"
"VELAZQUE (D NY-12)","NY","D"
"MCMAHON (D NY-13)","NY","D"
"MALONEY (D NY-14)","NY","D"
"RANGEL (D NY-15)","NY","D"
"SERRANO (D NY-16)","NY","D"
"ENGEL (D NY-17)","NY","D"
"LOWEY (D NY-18)","NY","D"
"HALL (D NY-19)","NY","D"
"GILLIBRAND (D NY-20)","NY","D"
"MURPHY (D NY-20)","NY","D"
"TONKO (D NY-21)","NY","D"
"HINCHEY (D NY-22)","NY","D"
"MCHUGH (R NY-23)","NY","R"
"OWENS (D NY-23)","NY","D"
"ARCURI (D NY-24)","NY","D"
"MAFFEI (D NY-25)","NY","D"
"LEE (R NY-26)","NY","R"
"HIGGINS (D NY-27)","NY","D"
"SLAUGHTE (D NY-28)","NY","D"
"MASSA (D NY-29)","NY","D"
"REED (R NY-29)","NY","R"
"BUTTERFI (D NC-1)","NC","D"
"ETHERIDG (D NC-2)","NC","D"
"JONES (R NC-3)","NC","R"
"PRICE (D NC-4)","NC","D"
"FOXX (R NC-5)","NC","R"
"COBLE (R NC-6)","NC","R"
"MCINTYRE (D NC-7)","NC","D"
"KISSELL (D NC-8)","NC","D"
"MYRICK (R NC-9)","NC","R"
"MCHENRY (R NC-10)","NC","R"
"SHULER (D NC-11)","NC","D"
"WATT (D NC-12)","NC","D"
"MILLER (D NC-13)","NC","D"
"POMEROY (D ND-1)","ND","D"
"DRIEHAUS (D OH-1)","OH","D"
"SCHMIDT (R OH-2)","OH","R"
"TURNER (R OH-3)","OH","R"
"JORDAN (R OH-4)","OH","R"
"LATTA (R OH-5)","OH","R"
"WILSON (D OH-6)","OH","D"
"AUSTRIA (R OH-7)","OH","R"
"BOEHNER (R OH-8)","OH","R"
"KAPTUR (D OH-9)","OH","D"
"KUCINICH (D OH-10)","OH","D"
"FUDGE (D OH-11)","OH","D"
"TIBERI (R OH-12)","OH","R"
"SUTTON (D OH-13)","OH","D"
"LATOURET (R OH-14)","OH","R"
"KILROY (D OH-15)","OH","D"
"BOCCIERI (D OH-16)","OH","D"
"RYAN (D OH-17)","OH","D"
"SPACE (D OH-18)","OH","D"
"SULLIVAN (R OK-1)","OK","R"
"BOREN (D OK-2)","OK","D"
"LUCAS (R OK-3)","OK","R"
"COLE (R OK-4)","OK","R"
"FALLIN (R OK-5)","OK","R"
"WU (D OR-1)","OR","D"
"WALDEN (R OR-2)","OR","R"
"BLUMENAU (D OR-3)","OR","D"
"DEFAZIO (D OR-4)","OR","D"
"SCHRADER (D OR-5)","OR","D"
"BRADY (D PA-1)","PA","D"
"FATTAH (D PA-2)","PA","D"
"DAHLKEMPER (D PA-3)","PA","D"
"ALTMIRE (D PA-4)","PA","D"
"THOMPSON (R PA-5)","PA","R"
"GERLACH (R PA-6)","PA","R"
"SESTAK (D PA-7)","PA","D"
"MURPHY (D PA-8)","PA","D"
"SHUSTER (R PA-9)","PA","R"
"CARNEY (D PA-10)","PA","D"
"KANJORSK (D PA-11)","PA","D"
"MURTHA (D PA-12)","PA","D"
"CRITZ (D PA-12)","PA","D"
"SCHWARTZ (D PA-13)","PA","D"
"DOYLE (D PA-14)","PA","D"
"DENT (R PA-15)","PA","R"
"PITTS (R PA-16)","PA","R"
"HOLDEN (D PA-17)","PA","D"
"MURPHY (R PA-18)","PA","R"
"PLATTS (R PA-19)","PA","R"
"KENNEDY (D RI-1)","RI","D"
"LANGEVIN (D RI-2)","RI","D"
"BROWN (R SC-1)","SC","R"
"WILSON (R SC-2)","SC","R"
"BARRETT (R SC-3)","SC","R"
"INGLIS (R SC-4)","SC","R"
"SPRATT (D SC-5)","SC","D"
"CLYBURN (D SC-6)","SC","D"
"HERSETH (D SD-1)","SD","D"
"ROE (R TN-1)","TN","R"
"DUNCAN (R TN-2)","TN","R"
"WAMP (R TN-3)","TN","R"
"DAVIS (D TN-4)","TN","D"
"COOPER (D TN-5)","TN","D"
"GORDON (D TN-6)","TN","D"
"BLACKBURN (R TN-7)","TN","R"
"TANNER (D TN-8)","TN","D"
"COHEN (D TN-9)","TN","D"
"GOHMERT (R TX-1)","TX","R"
"POE (R TX-2)","TX","R"
"JOHNSON (R TX-3)","TX","R"
"HALL (R TX-4)","TX","R"
"HENSARLIN (R TX-5)","TX","R"
"BARTON (R TX-6)","TX","R"
"CULBERSO (R TX-7)","TX","R"
"BRADY (R TX-8)","TX","R"
"GREEN (D TX-9)","TX","D"
"MCCAUL (R TX-10)","TX","R"
"CONAWAY (R TX-11)","TX","R"
"GRANGER (R TX-12)","TX","R"
"THORNBER (R TX-13)","TX","R"
"PAUL (R TX-14)","TX","R"
"HINOJOSA (D TX-15)","TX","D"
"REYES (D TX-16)","TX","D"
"EDWARDS (D TX-17)","TX","D"
"JACKSON- (D TX-18)","TX","D"
"NEUGEBAUE (R TX-19)","TX","R"
"GONZALEZ (D TX-20)","TX","D"
"SMITH (R TX-21)","TX","R"
"OLSON (R TX-22)","TX","R"
"RODRIGUEZ (D TX-23)","TX","D"
"MARCHANT (R TX-24)","TX","R"
"DOGGETT (D TX-25)","TX","D"
"BURGESS (R TX-26)","TX","R"
"ORTIZ (D TX-27)","TX","D"
"CUELLAR (D TX-28)","TX","D"
"GREEN (D TX-29)","TX","D"
"JOHNSON (D TX-30)","TX","D"
"CARTER (R TX-31)","TX","R"
"SESSIONS (R TX-32)","TX","R"
"BISHOP (R UT-1)","UT","R"
"MATHESON (D UT-2)","UT","D"
"CHAFFETZ (R UT-3)","UT","R"
"WELCH (D VT-1)","VT","D"
"WITTMAN (R VA-1)","VA","R"
"NYE (D VA-2)","VA","D"
"SCOTT (D VA-3)","VA","D"
"FORBES (R VA-4)","VA","R"
"PERRIELLO (D VA-5)","VA","D"
"GOODLATT (R VA-6)","VA","R"
"CANTOR (R VA-7)","VA","R"
"MORAN (D VA-8)","VA","D"
"BOUCHER (D VA-9)","VA","D"
"WOLF (R VA-10)","VA","R"
"CONNOLLY (D VA-11)","VA","D"
"INSLEE (D WA-1)","WA","D"
"LARSEN (D WA-2)","WA","D"
"BAIRD (D WA-3)","WA","D"
"HASTINGS (R WA-4)","WA","R"
"MCMORRIS (R WA-5)","WA","R"
"DICKS (D WA-6)","WA","D"
"MCDERMOT (D WA-7)","WA","D"
"REICHERT (R WA-8)","WA","R"
"SMITH (D WA-9)","WA","D"
"MOLLOHAN (D WV-1)","WV","D"
"CAPITO (R WV-2)","WV","R"
"RAHALL (D WV-3)","WV","D"
"RYAN (R WI-1)","WI","R"
"BALDWIN (D WI-2)","WI","D"
"KIND (D WI-3)","WI","D"
"MOORE (D WI-4)","WI","D"
"SENSENBR (R WI-5)","WI","R"
"PETRI (R WI-6)","WI","R"
"OBEY (D WI-7)","WI","D"
"KAGEN (D WI-8)","WI","D"
"LUMMIS (R WY-1)","WY","R"
