statenum	year	popul	lpc_viol	lpc_prop	lpc_murd	efamurd	efaviol	efaprop	xxprison	xxpolice	xxunemp	xxincome	xxpover	xxafdc15	xxgunlaw	xxbeer
4	96	2504.86	1.659026	3.733726	-2.436916	.3215123	.472092	.7819176	1.332509	1.012138	.054	9.885234	17.2	2881.584	1	20.1
4	97	2523	1.661789	3.735714	-2.311743	.3989478	.5535816	.8627387	1.323222	1.054459	.053	9.883107	19.7	2474.86	1	19.8
4	98	2538												2475.181	1	
4	99	2551.37														
5	66														0	
5	67														0	
5	68														0	
5	69														0	
5	70	20016													0	
5	71	20286													0	
5	72	20585	1.681963	4.067153	-2.441788						.07608	9.930814			0	
5	73	20869	1.720167	4.03696	-2.416614				-.1931156	.9992343	.06975	9.955092			0	
5	74	21174	1.796581	4.120272	-2.367155				-.0528859	1.021885	.07292	9.947999			0	
5	75	21538	1.863518	4.165405	-2.277279				.0335756	1.04162	.09858	9.937167			0	
5	76	21936	1.881969	4.16514	-2.290622				-.2193436	1.047412	.09142	9.976858			0	
5	77	22352	1.933809	4.122951	-2.184643				-.1914992	1.031233	.08233	10.0027			0	
5	78	22836	1.981394	4.130677	-2.168605				-.2540152	1.032163	.071	10.04556			0	
5	79	23257	2.068802	4.173935	-2.064123				-.1553629	.9671556	.06217	10.05469			0	
5	80	23668	2.184364	4.234076	-1.937118				-.0897788	.9746075	.06808	10.03784	11		0	
5	81	24286	2.149967	4.203549	-2.044722				-.0172168	.9894796	.074	10.02863	13.3		0	
5	82	24820	2.093787	4.166001	-2.189559				.1391925	.9908821	.0995	10.01253	14.1		0	
5	83	25360	2.037213	4.070998	-2.262773				.3023702	.9781564	.09667	10.03174	14.9		0	
5	84	25844	2.023937	4.035298	-2.25255				.4050707	.9829612	.07775	10.07536	13.2		0	25
5	85	26441	2.032178	4.049383	-2.256068	.0227809	.1265792	.4018373	.4772709	.9807373	.07192	10.0997	13.6	9530.722	0	24
5	86	27102	2.215312	4.063228	-2.188408	.051138	.2155156	.6170741	.6030539	.9591472	.06675	10.12727	12.7	9701.333	0	24.7
5	87	27777	2.212902	4.019171	-2.251256	.1092392	.3507367	.9066913	.7560828	.9840756	.05767	10.1343	12.3	9722.154	0	24.1
5	88	28464	2.219368	4.033596	-2.271592	.2042373	.5250691	1.232902	.8472824	.9768116	.053	10.14166	13.2	9152.838	0	23.6
5	89	29218	2.274668	4.052666	-2.224846	.3463277	.7379363	1.585361	.9524475	.9694211	.05083	10.14231	12.9	9336.998	0	23.7
5	90	29889	2.342466	4.013574	-2.129698	.5332205	.9784563	1.938497	1.060048	.9798448	.05617	10.14162	13.9	8878.216	0	23.8
5	91	30407	2.387814	4.039115	-2.064265	.7517422	1.239061	2.281169	1.147101	.9924175	.075	10.11071	15.7	9274.586	0	22.3
5	92	30895	2.414757	4.017237	-2.064248	1.002434	1.519212	2.619461	1.175536	1.073334	.091	10.11494	15.8	9947.822	0	21.3
5	93	31211	2.377474	3.985114	-2.03076	1.26903	1.808477	2.930964	1.227804	1.048752	.092	10.0985	18.2	9393.682	0	20.8
5	94	31431	2.315498	3.943683	-2.138651	1.550488	2.10311	3.214079	1.309132	1.010666	.086	10.09951	17.9	9046.364	0	20.1
5	95	31493.5	2.271035	3.887695	-2.188201	1.845479	2.403437	3.480608	1.385347	1.017366	.078	10.15592	16.7	9326.14	0	19.7
5	96	31780.8	2.157893	3.77469	-2.38865	2.12975	2.683847	3.705745	1.460267	1.053145	.072	10.17864	16.9	8814.257	0	19.1
5	97	32268	2.077262	3.705512	-2.526674	2.407755	2.954012	3.915041	1.536401	1.090033	.063	10.17519	16.6	8921.472	0	19.5
5	98	32683												9011.204	0	
5	99	33145.1														
6	66														0	
6	67														0	
6	68														0	
6	69														0	
6	70	2222													0	
6	71	2277													0	
6	72	2405	1.379515	3.928813	-2.50719						.04134	9.805548			0	
6	73	2496	1.396657	3.904341	-2.559755				-.2226239	.733886	.04087	9.848413			0	
6	74	2541	1.440299	4.031475	-2.823033				-.2759984	.8289297	.04086	9.840451			0	
6	75	2586	1.512464	4.108811	-2.621426				-.2555399	.9874484	.06827	9.828461			0	
6	76	2632	1.40902	4.134674	-2.705015				-.2376528	1.007726	.05834	9.858913			0	
6	77	2696	1.604008	4.116628	-2.787537				-.1617147	.9943206	.0624	9.888447			0	
6	78	2767	1.5697	4.112904	-2.647404				-.1540889	1.114679	.05617	9.933751			0	
6	79	2849	1.625248	4.151441	-2.873319				-.1119274	.9606137	.04767	9.94222			0	
6	80	2890	1.661025	4.216205	-2.680745				-.0693941	.9662001	.0585	9.943612	8.6		0	
6	81	2978	1.665906	4.217605	-2.522544				-.1022895	1.008387	.05533	9.957273	9.6		0	
6	82	3062	1.612308	4.180398	-2.822817				-.0724046	.9883146	.07742	9.962617	12.6		0	
6	83	3134	1.562736	4.120743	-2.741798				.0706027	1.012017	.06675	9.978037	12.5		0	
6	84	3170	1.523722	4.099086	-2.846551				.0975123	.9669329	.0565	10.00205	8.9		0	25.7
6	85	3209	1.556585	4.173193	-2.831968	.0024586	.0260745	.102827	.0670983	1.001165	.05875	10.00078	10.2	8339.382	0	25.2
6	86	3237	1.664724	4.184888	-2.644323	.0038296	.0392291	.1507582	.1235487	.9946012	.07417	10.00159	13.5	8274.667	0	25.5
6	87	3260	1.553225	4.102618	-2.837209	.0133942	.0801088	.2629358	.2477382	1.012752	.07667	9.994427	12.5	8247.704	0	24.8
6	88	3262	1.561592	4.052606	-2.858987	.0267218	.1349395	.4093711	.4309056	1.018438	.06442	10.01883	12.5	9022.703	0	24.2
6	89	3276	1.562953	4.032066	-3.110772	.0602938	.2268144	.6151999	.6236506	1.030429	.05792	10.04306	12.1	7774.321	0	23.9
6	90	3309	1.655678	4.007943	-3.177148	.1238391	.3493154	.8506554	.8037139	1.024559	.04958	10.04625	13.7	7159.852	0	24.2
6	91	3370	1.723561	4.012096	-2.829363	.2235396	.5102327	1.12419	.8408009	1.012946	.05	10.05476	10.4	6871.317	0	23.5
6	92	3465	1.75731	3.986705	-2.775189	.3554377	.68281	1.386979	.9123662	1.146224	.059	10.06634	10.6	6515.347	0	23.7
6	93	3566	1.735673	3.903891	-2.851324	.5200127	.880046	1.655269	.9541786	1.145591	.052	10.07967	9.9	6203.375	0	23.5
6	94	3656	1.628511	3.873023	-2.91082	.6991379	1.082698	1.894377	.9758393	1.151409	.042	10.09746	9	5915.951	0	23.1
6	95	3738.06	1.48443	3.905592	-2.851044	.9037625	1.296172	2.115839	1.075462	1.109584	.042	10.16635	8.8	5586.334	0	24.4
6	96	3812.72	1.400108	3.855825	-3.05314	1.111049	1.509737	2.317417	1.085039	1.195979	.042	10.19144	10.6	5445.347	0	24.8
6	97	3893	1.289757	3.758227	-3.21069	1.323846	1.719904	2.495858	1.182415	1.210713	.033	10.2039	8.2	5528.518	0	24
6	98	3969												5549.819	0	
6	99	4056.13														
7	66														1	
7	67														1	
7	68														1	
7	69														1	
7	70	3039													1	
7	71	3068													1	
7	72	3069	.6931472	3.471189	-3.423937						.08343	9.981137			1	
7	73	3068	.738548	3.545202	-3.403808				-.5236148	.8402911	.06239	10.01299			1	
7	74	3074	.8293385	3.737158	-3.415614				-.6124027	.8767988	.06208	9.988535			1	
7	75	3083	.9913158	3.851596	-3.246167				-.7418072	.8817384	.09432	9.960749			1	
7	76	3083	1.016044	3.867769	-3.458947				-.5112582	.8964388	.09424	9.993227			1	
7	77	3086	1.044917	3.826971	-3.151829				-.4720167	.8961741	.07057	10.02807			1	
7	78	3092	1.149679	3.834048	-3.176761				-.6279203	.9164203	.0525	10.0632			1	
7	79	3096	1.427271	3.988667	-3.162669				-.5066301	.9285056	.05092	10.07551			1	
7	80	3108	1.412963	3.997592	-3.058128				-.3697725	.9528245	.05867	10.07476	8.3		1	
7	81	3129	1.500698	3.987942	-2.924505				-.1223785	.9708862	.0615	10.07957	8.2		1	
7	82	3139	1.389554	3.922052	-2.951793				.0676497	.9635426	.06925	10.09016	8.1		1	
7	83	3162	1.314094	3.821639	-3.199148				-.0031908	.9730738	.06025	10.12007	8.7		1	
7	84	3180	1.362588	3.737767	-3.260615				.1233197	.971416	.04608	10.1816	6.9		1	20.3
7	85	3201	1.382695	3.753389	-3.283727	.0024301	.0261761	.104379	.1643412	.9714695	.0485	10.21292	7.6	11764.48	1	20.8
7	86	3224	1.437828	3.773951	-3.081166	.0038163	.0397351	.1545973	.2335237	.9945584	.03792	10.26861	6	11651.11	1	20.6
7	87	3247	1.421619	3.812415	-3.035631	.0133961	.0823577	.2737211	.2940205	1.013179	.03317	10.30923	6.6	11426.99	1	21.1
7	88	3272	1.506452	3.828263	-2.934101	.0260544	.1358868	.4188742	.3563361	1.028453	.02992	10.3554	4	10237.3	1	20.7
7	89	3283	1.619198	3.848967	-2.849489	.0588486	.2281625	.6308751	.3670428	1.042676	.03642	10.36652	2.9	10352.74	1	19.8
7	90	3288	1.711197	3.877788	-2.986047	.1236864	.3618501	.8999286	.6532195	1.027616	.05083	10.3493	6	9594.2	1	19.8
7	91	3290	1.686118	3.876569	-2.867534	.2219303	.5293765	1.198331	.8601194	1.014252	.067	10.32414	8.6	9105.343	1	18.7
7	92	3279	1.600677	3.819992	-2.983306	.3611962	.7251775	1.512791	.9591289	.9633135	.075	10.34384	9.4	9471.09	1	18.3
7	93	3277	1.517716	3.736281	-2.766808	.5386682	.9442698	1.820397	.9865312	.988349	.062	10.34354	8.5	9452.762	1	17.9
7	94	3275	1.516117	3.711746	-2.723435	.7400428	1.184507	2.126135	1.165208	.9948441	.056	10.3613	10.8	8887.19	1	17.9
7	95	3265.29	1.403888	3.715892	-3.080469	.9710655	1.430877	2.404192	1.47952	1.007679	.055	10.451	9.7	8367.815	1	17.6
7	96	3267.03	1.418067	3.643824	-3.029042	1.210334	1.685873	2.664019	1.511345	1.026462	.057	10.47449	11.7	7500.594	1	17.2
7	97	3270	1.36317	3.581691	-3.272264	1.460352	1.943051	2.902542	1.524635	1.036083	.051	10.48662	8.6	8023.337	1	17.5
7	98	3273												8044.337	1	
7	99	3282.03														
8	66														0	
8	67														0	
8	68														0	
8	69														0	
8	70	550													0	
8	71	559													0	
8	72	573	1.336653	3.708665	-2.687324						.0462	9.90993			0	
8	73	578	1.249297	3.741945	-2.833213				-.7196739	.914544	.04867	9.948177			0	
8	74	581	1.474775	3.994642	-2.287213				-.5757487	.9030547	.0697	9.918258			0	
8	75	587	1.35251	4.125622	-2.637355				-.2871085	.8145572	.10263	9.887531			0	
8	76	590	1.15464	4.071111	-2.796604				-.0085544	.9415234	.0888	9.920685			0	
8	77	592	1.323556	4.048224	-2.828159				.1478354	.9284202	.08519	9.933779			0	
8	78	595	1.462711	4.059399	-2.725				.3257977	.9290469	.07558	9.944127			0	
8	79	595	1.659268	4.070333	-2.892054				.5241814	1.001003	.08167	9.926104			0	
8	80	594	1.55903	4.144737	-2.673307				.603535	1.01328	.0775	9.913744	11.8		0	
8	81	596	1.630687	4.127297	-2.701361				.6042976	.985867	.08	9.901393	12.3		0	
8	82	599	1.727406	4.069754	-2.929526				.7390569	.9717699	.084	9.904337	11.5		0	
8	83	605	1.512672	3.916245	-3.186353				.9265881	.9265881	.08083	9.934576	8.5		0	
8	84	612	1.473476	3.823941	-3.197856				.9593186	.9126477	.06167	9.962282	10.3		0	26.6
8	85	618	1.472665	3.819311	-3.025291	.0024881	.0257984	.1000617	.926694	.9299229	.05367	9.996334	11.4	6502.732	0	26.2
8	86	628	1.459577	3.793161	-3.008553	.0036157	.03658	.1392275	1.046012	.9531437	.04333	10.03209	12.4	5849.333	0	26
8	87	637	1.471276	3.819384	-2.960262	.0154887	.0841543	.2651261	1.136117	.9665963	.03333	10.04857	6.6	5390.958	0	25.9
8	88	648	1.526123	3.790518	-2.94753	.0275547	.1330243	.3946279	1.220631	1.008313	.03158	10.07772	8.6	4771.622	0	25.7
8	89	658	1.738972	3.785777	-2.962844	.0640274	.2241744	.5887221	1.225499	1.044173	.03583	10.10361	10	6524.179	0	24.9
8	90	669	1.875589	3.846994	-3.009276	.1294524	.3380544	.7967896	1.244479	1.072177	.05233	10.0948	6.9	6372.268	0	25.8
8	91	681	1.964614	3.941111	-2.912644	.2233092	.4789413	1.023715	1.208893	1.097116	.062	10.08306	7.5	6769.771	0	24.9
8	92	691	1.823568	3.741247	-3.072404	.3448731	.6316893	1.256969	1.289625	1.039638	.053	10.09146	7.6	6864.951	0	25.2
8	93	700	1.925499	3.734399	-2.995732	.4881199	.7994158	1.481577	1.364717	1.049677	.053	10.09208	10.2	6351.075	0	26.2
8	94	706	1.878751	3.74837	-3.063108	.6399915	.9788715	1.696705	1.379485	1.320612	.049	10.13125	8.3	5783.307	0	25.9
8	95	718.265	1.979191	3.790068	-3.357963	.822955	1.173457	1.911889	1.844633	1.045777	.043	10.22965	10.3	5890.194	0	24.6
8	96	727.09	1.896652	3.741109	-3.155063	.9982303	1.362728	2.099301	1.899949	1.034509	.052	10.26239	8.6	5487.723	0	24.6
8	97	732	1.913784	3.79782	-3.705409	1.190072	1.561664	2.293757	1.949904	1.015844	.04	10.26168	9.6	5648.27	0	24.9
8	98	744												5453.133	0	
8	99	753.538														
9	66														0	
9	67														0	
9	68														0	
9	69														0	
9	70	755													0	
9	71	753													0	
9	72	742									.05584	10.06559			0	
9	73	731	2.766586	3.987488	-1.003426				1.214697	2.146703	.06476	10.08101			0	
9	74	718							1.159639	2.061498	.06217	10.08607			0	
9	75	707							1.0598	2.144807	.07624	10.09942			0	
9	76	692							1.180503	2.050017	.09009	10.13197			0	
9	77	677							1.19366	1.971187	.09756	10.16403			0	
9	78	665							1.19522	1.955152	.08292	10.16808			0	
9	79	650	2.821837	4.272491	-1.284016				1.336187	1.942036	.07617	10.14389			0	
9	80	638	3.032811	4.396479	-1.160021				1.38591	1.999815	.074	10.10025	20.9		0	
9	81	637	3.162031	4.449095	-1.049598				1.449681	1.915215	.08867	10.0884	18.1		0	
9	82	634	3.087235	4.425828	-1.184191				1.52667	1.881536	.10417	10.10251	19.3		0	
9	83	632	2.974059	4.298834	-1.239403				1.664965	1.934808	.11592	10.12203	21.3		0	
9	84	633	2.874359	4.232388	-1.268687				1.701578	1.942514	.09075	10.15683	21.1		0	29.2
9	85	635	2.774457	4.141609	-1.463192	.0180842	.1829437	.6962613	1.770471	1.940252	.08367	10.17179	20.4	10523.5	0	26.9
9	86	638	2.69257	4.205511	-1.19048	.0240863	.2379168	.8883242	1.981056	1.951519	.07733	10.18295	12.8	9463.556	0	27.9
9	87	637	2.755169	4.201736	-1.040669	.1288619	.6291912	1.871683	2.015321	1.94837	.06342	10.21203	14.9	9261.388	0	27.2
9	88	630	2.93975	4.365159	-.5349232	.2014813	.9072567	2.5808	2.176249	1.963582	.04842	10.27161	15.2	9066.082	0	26.8
9	89	624	3.031696	4.36821	-.3631058	.4909545	1.546976	3.819431	2.353338	1.988092	.05075	10.29254	18	9063.528	0	26.9
9	90	604	3.206817	4.42556	-.2465952	.9701331	2.249341	4.935717	2.366222	2.089408	.06733	10.31721	21.1	8556.022	0	26.7
9	91	594	3.206749	4.427323	-.2089352	1.583341	3.025997	5.970287	2.42081	2.206016	.077	10.33403	18.6	8089.877	0	26.9
9	92	585	3.350654	4.458157	-.2780421	2.342145	3.809968	6.97509	2.481815	2.159484	.084	10.38595	20.3	7627.723	0	30.4
